Call Mayflower!	呼叫五月花號！
Nothing up there.	上面沒有任何東西。
The rug is blue, and the floor has recently been painted red.	地毯是藍色的，地板最近被漆成紅色。
The house is tidy, but there is a layer of dust over everything.	房子很整潔，但所有東西上都覆蓋了一層灰塵。
The oval rug is blue to match the walls.	橢圓形地毯是藍色的，與牆壁相搭。
The door to the upstairs room.	通往樓上房間的門。
The walls are a deep shade of blue.	牆壁是深藍色的。
The fire is out, but the heat from the hearth is still felt in the room.	火滅了，但壁爐的熱氣仍然能在房間裡感受到。
The Little Old Lady left her purse on the couch.  Mighty careless.	老太太把錢包丟在沙發上。真夠不小心的。
On the mantle sits an ordinary hurricane lamp which provides the only light in the room.	爐台上放著一盞普通的颶風燈，它是房間唯一的光源。
There is a lace doily on the wooden table.	木桌上有一條蕾絲墊布。
There is a lace doily in the center of the wooden table and a pair of silver candlesticks on either side of it.	木桌中央有一條蕾絲墊布，它的兩側各放著一對銀製燭台。
The doily is lacy and shows fine workmanship. It is slightly yellow with age.	墊布做工精細，帶有蕾絲紋樣。因年月已久而略呈黃色。
Cute but NOISY!.	可愛，但吵死人了！
The cage is covered, and you can't see the bird.	鳥籠被蓋住了，你看不到鳥。
Against the wall, there is a small wooden desk with a potted plant on it. The desk has one drawer.	靠牆有一張小木桌，上面放著一盆盆栽。桌子有一個抽屜。
It's a rubber plant.	那是一棵橡皮樹。
The Coleus plant has brightly colored leaves.	一葉蘭的葉子色彩豔麗。
On the desk there is a plant which looks like some kind of violet. In the corner is a taller, leafy house plant.	桌上有一株看起來像某種紫羅蘭的植物。角落裡還有一株較高的、枝葉茂盛的室內植物。
There are no drugs here.	這裡沒有毒品。
It's part of the stairs.	那是樓梯的一部分。
The little cat is wearing a cheap rhinestone collar.	小貓戴著一條廉價的水鑽項圈。
Kitty, you'd better not be bothering the little birdie again!	基蒂，你最好別再騷擾小鳥了！
You find 1 silver in the desk drawer. You find nothing else of any value to you.	你在抽屜裡找到 1 枚銀幣。沒有其他有價值的東西。
The cat seems to want something.	貓似乎想要什麼。
The cat seems more insistent than before.	貓看起來比之前更執著了。
Purrrrrrrr!	呼嚕嚕嚕！
When the Little Old Lady awakes to see what's going on, you have to concede to her (through lips that are as raw as hamburger) that you've been licked!  She summons the Sheriff and his goon, Otto.	老太太醒過來想看發生了什麼時，你只好向她認錯（舔到嘴唇像漢堡一樣生紅）說你被貓舔了！她召喚了治安官和他的手下奧圖。
SCRAAAAWK!	尖叫聲！
Help! Burglars! Sheriff! Help!\nKitty! Kitty!	救命！盜賊！治安官！\n救我！基蒂！基蒂！
KITTY!!!	基蒂！！！
Zara says, "I detect that you have not the money to purchase that item.  Do not toy with me!"	薩拉說，「我發現你沒有足夠的錢購買那件物品。別耍我！」
Tall shelves with books and odds and ends suited to magic line the walls.  In front of you is a counter with a pentagram embossed on the front.  The ceiling and the far wall are mysterious indeed.  There is a strange symbol on the floor.	牆壁上排滿了放著書籍和各式適合魔法的雜物的高大書架。你面前是一張櫃台，正面浮雕著五芒星。天花板和遠處的牆壁確實神秘莫測。地板上有一個奇異的符號。
Books dealing with sorcery, necromancy and other occult subjects.	講述魔法、死靈術和其他神秘學科的書籍。
A toaster oven, very rarely used (electricity not invented yet).	一台吐司機，很少使用（電力還沒被發明）。
A frog.	一隻青蛙。
Dried up Mantray (Manta jerky).	曬乾的蝠鱝肉乾。
You don't see any monsters here.	你看不到任何怪物。
You don't see any living creatures.	你看不到任何活物。
This living creature must be some sort of familiar.  There is an uncanny look in its eyes, and you don't want to look at it too closely.  It definitely has magic.	這隻活物一定是某種法器。它眼神詭異莫測，你不想仔細看它。它肯定帶著魔力。
The walls are covered with shelves full of interesting and very unusual objects.  The back wall behind the counter seems to be not a wall at all, but perhaps an extension of some unearthly place.	牆壁上滿是放著有趣且非常不尋常物品的書架。櫃台後面的牆壁看起來不像是真正的牆，而是可能延伸到某個異世界的地方。
The titles are totally unfamiliar to you.	這些書名對你來說完全陌生。
Aside from the pentagram on the front, there is nothing unusual about the counter.	除了正面的五芒星，櫃台沒有什麼不尋常的地方。
There is no one here to sell you anything.	這裡沒有人給你賣東西。
"My name is Zara.  This is my shop."	「我叫薩拉。這是我的店。」
"I am both human and Faery Folk.  I draw my Power from both."	「我既是人類，也是妖精。我從兩者身上汲取力量。」
"Monsters stay out of town, and I stay in.  They are of no concern to me."	「怪物都在城外，我在城裡。它們對我無關緊要。」
"Damiano is my familiar and my companion.  We share our lives and our magic."	「達米亞諾是我的法器和夥伴。我們共享生命和魔法。」
"When you have mastered nine spells, have the power to cast them all, and proved yourself worthy by accomplishing a great deed, then you must undergo initiation to become a full Wizard."	「當你精通了九個法術，有能力施展它們，並通過完成偉大事跡證明自己值得，那麼你必須接受啟蒙儀式才能成為真正的法師。」
"There is much Magic in this world for those who know how to use it.  There is Magic in this little town, and a good deal of Magic in this valley."	「對於懂得如何使用魔法的人，這個世界有許多魔法。這個小鎮有魔法，這個山谷也有相當多的魔法。」
"What I sell here are merely tools to help those who have power.  You may purchase restorative potions and scrolls from which you may learn spells if you have the potential."	「我在這裡賣的只是幫助有力量的人的工具。如果你有潛質，你可以購買恢復藥水和能學到法術的卷軸。」
"There is an Aura protecting this town from danger.  Within most of the town's walls, there can be no act of violence or cruel Magic.  Even so, it is prudent to avoid dark places."	「有一道靈光保護著這個城鎮免受危害。在城鎮的大部分範圍內，不能有任何暴力或殘忍的魔法行為。儘管如此，謹慎地避開黑暗的地方還是明智的。」
"An Aura is a Spell of protection surrounding something.  The town is still protected by the Aura cast by the great Spellcaster, Erana."	「靈光是圍繞著某物的保護法術。城鎮仍然受到偉大魔法師伊瑞娜施放的靈光保護。」
"There is much Power in this valley, and it attracts those who use Magic.  I am here in Spielburg, Erasmus has his house on Zauberberg, and even Baba Yaga has her hut cooped up somewhere around here."	「這個山谷充滿了力量，吸引著許多使用魔法的人。我在史畢柏格，伊拉斯謨在魔法山有他的房子，連芭芭雅嘎都在這附近某處關著她的小屋。」
"Upon von Spielburg and all his clan, this Curse I now demand:  What I will shall come full measure, so shall ye lose all that ye treasure."	「我對馮·史畢柏格及其全族施以詛咒：我的意志將十倍奉還，你們將失去所有珍愛之物。」
"There is always a way to break a curse; possibly Erasmus knows more about this one."	「詛咒總有辦法破解的；伊拉斯謨可能對這個詛咒知道得更多。」
"Baba Yaga's hut is Magical.  It stands on chicken legs, and you must know the rhyme to enter."	「芭芭雅嘎的小屋是有魔力的。它站在雞腿上，你必須知道秘語才能進入。」
"He was once the great leader of this land until he was foolish enough to anger Baba Yaga."	「他曾經是這片土地的偉大領導者，直到他愚蠢到激怒了芭芭雅嘎。」
"Erana was a powerful Spellcaster who lived long ago.  She brought peace to this valley.  Even now her spell protects this town from violence or foul Magic."	「伊瑞娜是一位強大的魔法師，她生活在很久以前。她為這個山谷帶來了和平。即使到現在，她的法術仍然保護著這個城鎮免受暴力和邪惡魔法的侵害。」
"Her final resting place is due north of town, and it is a place of both safety and healing.  It is known as `Erana's Peace'"	「她最後的安息之地在城鎮正北方，那是一個既安全又能治癒的地方。它被稱為`伊瑞娜的安寧之地`」
"Erasmus is a Wizard and a Spellcaster who knows much about this area.  He lives in a tower eastward of town.  He can be very helpful if approached properly, but he has a strange sense of humor."	「伊拉斯謨是一位法師和魔法師，對這一帶了解很多。他住在城鎮東方的一座塔裡。如果方法得當會很有幫助，但他的幽默感很怪。」
"It is a steep mountain to the northeast."	「那是東北方的一座陡峭的山。」
"That is the Spell that lets you cast a Magical Flame upon your enemy.  The Spell Scroll will cost you 60 silver."	「那是讓你對敵人施放魔法火焰的法術。法術卷軸要價 60 銀幣。」
"It is a Spell that allows you at first to unfasten simple locks and knots.  As you gain in skill, then you may open doors with it.  This Spell Scroll will cost you 30 silver."	「這是一個起初只能解開簡單鎖和繩結的法術。隨著你技能的提升，你就能用它打開門。這個法術卷軸要價 30 銀幣。」
"The Fetch Spell allows you to lift or lower a lightweight object from a distance.  The Spell Scroll will cost you 40 silver."	「取物術允許你從遠距離舉起或放下輕質物體。法術卷軸要價 40 銀幣。」
"We sell several Magical Spells on study scrolls.  You may purchase Flame Dart for 60 silver, Fetch for 40 silver, or the Open spell for 30 silver."	「我們販賣幾種魔法法術卷軸供學習。你可以購買火焰鏢（60 銀幣）、取物術（40 銀幣）或開啟術（30 銀幣）。」
"I also know that you can find a wonderful Spell if you learn the secret of Erana's Peace."	「我也知道如果你發現伊瑞娜的安寧之地的秘密，你就能找到一個奇妙的法術。」
"Secrets are made to be kept."	「秘密是用來保守的。」
"We can sell you spell learning scrolls and enchanted potions."	「我們可以賣給你法術學習卷軸和魔法藥水。」
"The Scrolls we sell are Magical.  You have but to read the Spell, and you will learn it."	「我們販賣的卷軸都是魔法的。你只需要讀法術，就能學到它。」
"The Healing Potion will cost you 50 silver.  It is made by the Healer outside of town."	「治療藥水要價 50 銀幣。它是由城外的治療師製作的。」
"Vigor Potions restore your Stamina after you have exerted yourself.  They cost 25 silver each."	「活力藥水在你耗盡耐力後能恢復你的耐力。每瓶要價 25 銀幣。」
"Power is the essence of magic, that which the wizard shapes and is shaped by."	「力量是魔法的本質，是魔法師塑造並被其塑造的東西。」
"We have Healing, Vigor, and Power Potions."	「我們有治療、活力和法力藥水。」
Just look at the shelves.	看一下書架就知道了。
"We are entities of Magic and Power.  Matters such as that are of little importance."	「我們是魔法和力量的實體。那類事情對我們無關緊要。」
"We choose only to answer questions which interest us.  Do not persist with uninteresting questions."	「我們只回答令我們感興趣的問題。別糾纏在令人無趣的問題上。」
"We shall not waste our time further."	「我們不會再浪費時間。」
"You may choose from the Fetch, Open, or Flame Dart Spells."	「你可以選擇取物術、開啟術或火焰鏢。」
"You may choose from the Healing, Vigor, or Power Potions."	「你可以選擇治療、活力或法力藥水。」
"I do not sell such things to such as you."	「我不向你這樣的人出售這些東西。」
"So, you return to my shop.  Ask of me what you will, but keep to the point."	「所以，你又回到我的店裡了。你想問什麼就問，但要切中要點。」
"I am Zara, and my companion is Damiano."	「我是薩拉，我的同伴是達米亞諾。」
"The items in this shop are designed for those skilled in the use of magic.  We have very little for ones such as you who have not been initiated, but what we have could prove useful."	「本店的物品是為懂得使用魔法的人設計的。對於像你這樣未被啟蒙的人，我們提供的很少，但我們擁有的或許能派上用場。」
It's a frog.	那是一隻青蛙。
Impressive design, but merely decorative.	設計得很令人印象深刻，但只是裝飾品。
Paraphernalia and apparatus.	各式各樣的器材和設備。
Darned if I know!	天曉得！
Reward for return of lost ring.\nInquire at the Healer's.	失物招領：戒指。\n詢問治療師。
Reward of 30 gold coins for the\nCapture or Death\nof the Brigand Warlock.\nDescription:  short, ugly, and\nwears brightly colored robes.\nHas habit of laughing continually.\n\nInquire at Spielburg Castle gates.	懸賞 30 金幣，獎勵捕獲或\n殺死山賊巫師。\n特徵：身矮、面貌醜陋、\n穿著鮮豔的魔法袍、\n習慣不停地大笑。\n\n詢問史畢柏格城堡衛士。
Wanted:  Brigand Leader.\nDescription:  Unknown appearance, wears a cloak.\nMust provide proof of leader's identity.\n\nReward of 60 gold coins and title of Hero of the Realm.\nInquire at Spielburg Castle gates.	通緝：山賊首領。\n容貌不詳，穿著斗篷。\n需提供身份證明。\n\n獎勵 60 金幣及英雄勳爵。\n詢問史畢柏格城堡衛士。
Notice:  Spell components needed.\nCash or trade for potions.\nInquire at the Healer's.	啟事：收購法術成分。\n現金付款或以藥水交換。\n詢問治療師。
A simple but prosperous-looking edifice it is.  It looks like it might provide some staples that would prove useful to a traveler.	這是一座簡樸但繁榮的建築。看起來能提供一些對旅客有用的必需品。
There is no response.  The store must be closed for the evening.	沒有人應門。店鋪可能在晚上關閉了。
This appears to be a Market street.  In the corner is a fruit and vegetable stand, or Farmer's Mart.  Next to it is a dry goods store, and next to that is a house.  Across the street you see the back of the barber's shop and the Sheriff's office.	這看起來像一條市集街道。角落裡有一個水果和蔬菜攤位，或農民市集。它旁邊是一間乾貨店，再旁邊是一間房子。街對面你看到理髮店和治安官辦公室的背面。
You see the backs of buildings.	你看到建築物的背面。
"I will be happy to take your silver.  Please pick out what you want."	「我很樂意接收你的銀幣。請選出你想要的。」
"As you wish, sir."	「如你所願，先生。」
"We have many kinds of fresh vegetables for sale today.  There are lettuce, carrots, potatoes, and turnips right from the ground at five for a silver.  They are very good for you!"	「我們今天有各式新鮮蔬菜出售。有生菜、胡蘿蔔、馬鈴薯和蕪菁，直接從地裡挖出來，五個一銀幣。對你很有好處！」
"It is much too early in the season for those.  Sorry."	「現在季節太早了，沒有那種東西。抱歉。」
"I'm sorry, but the cherry harvest is not yet in.  But we will have very nice cherries two months from now."	「抱歉，櫻桃季節還沒到。但我們在兩個月後會有非常好的櫻桃。」
"There are still some apples left from last season in the barrel.  You may buy ten for a silver, since they are so small.  We will have fresh cherries in a couple of months."	「桶裡還有去年剩下的蘋果。因為它們很小，你可以十個一銀幣買。我們在幾個月後會有新鮮櫻桃。」
"They have twice robbed my Father of his money, and they have tried to steal our food this winter.  That is because we farm outside of town.  They would not dare to try that in town.  The Sheriff would stop them fast!"	「他們搶了我父親兩次的錢，今年冬天還試圖偷我們的食物。那是因為我們在城外務農。他們不敢在城裡這樣做。治安官會立即阻止他們！」
"Many robbers have run up to Father as he trotted back to town.  My Father tried to fight, but they hurt him badly.  They always ran away to the west."	「許多山賊在我父親騎馬回城時出現。我父親試圖反擊，但他們傷了他。他們總是向西逃跑。」
"We have some land to the north of town.  It isn't very big, but we grow many things.  You should be here during the harvest time.  Then you would see many fruits and vegetables."	「我們在城北有一塊地。面積不是很大，但我們種很多東西。你應該在收穫季節來。那時你會看到很多水果和蔬菜。」
"You know...in the autumn!  But then, perhaps you have never been a farmer."	「你知道…在秋天！但也許你從沒當過農民。」
"The Healer lives in a nice little cottage on the North road, near my Father's fields.  She is a very nice woman."	「治療師住在北面道路上一間漂亮的小屋裡，靠近我父親的田地。她是個很好的女人。」
"My Father is Heinrich Pferdefedern, who works our farm just north of town."	「我父親是海因裡希·普費德費德恩，他經營城北我們的農場。」
"I am sorry.  I do not get about very much, and I do not really know about many things."	「抱歉。我不常外出，對很多事情也不太了解。」
If you want to buy something, go over to the vendor.	如果你想買東西，去找小販。
You carefully select ten of the best apples from the barrel, and pay the lady a silver piece.	你仔細地從桶裡挑出十個最好的蘋果，付給女士一枚銀幣。
"As I told you, sir, it is too early in the season.  You would not want to buy any."	「如我告訴你的，先生，現在季節太早了。你不會想買的。」
"I'm afraid I can't help you with that, sir."	「恐怕我幫不了你，先生。」
"Just pick out what you would like to purchase, then you can pay me."	「只要挑出你想要的，然後付錢給我。」
The creature in charge of the Farmer's Mart is a rather lovely and shy-looking young Centaur.	負責農民市集的生物是一位相當可愛且看起來羞澀的年輕半人馬。
The barrel contains potent looking potatoes more suited to throwing than eating.	桶裡的馬鈴薯看起來很有力量，更適合拿來丟而不是吃。
The small apples give off a sweet but pungent odor.	小蘋果散發出甜蜜但刺激的氣味。
Carrots are good for night vision and lower one's cholesterol.	胡蘿蔔對夜間視力有益，能降低膽固醇。
The turnips seem to blush with pride.  You wonder if the farmer has been using Alar.	蕪菁似乎因驕傲而臉紅。你納悶農民是否施用過艾拉。
Lettuce and other leafy plants.	生菜和其他葉類植物。
The pretty young centaur looks at you and says, "Good day, and welcome to Spielburg!  Do you wish to buy some nice fresh fruits or vegetables?"	漂亮年輕的半人馬看著你說，「早安，歡迎來到史畢柏格！你想要買些新鮮水果或蔬菜嗎？」
However, this was not a good place to sleep.  You're stiff and sore all over and your wallet feels very light.  You give the Hilde the centaur a suspicious look, but you are too sore to pursue the matter.	不過，這不是個好睡覺的地方。你全身僵硬酸痛，錢包輕了不少。你用狐疑的目光看著半人馬希爾德，但你太痛了無法追究。
In the desk drawers, you find an assortment of mostly worthless objects, but you find three silvers, which you take.	在書桌抽屜裡，你找到一堆多半沒用的東西，但你找到三枚銀幣，就拿走了。
The room is dark and still.	房間昏暗而寂靜。
You see items which may be interesting and probably valuable.	你看到可能有趣且可能貴重的物品。
The candelabra looks like it is made of gold.	枝形燭台看起來是用金製成的。
The vase on the mantle might be worth taking.	爐台上的花瓶可能值得拿走。
There is also an odd little box on the table.	桌上還有一個奇怪的小盒子。
How anyone manages to dust a CEILING is beyond you.	你想不出誰有辦法擦天花板。
The floor is covered with expensive wall-to-wall carpeting not common in this time period.	地板上舖滿名貴的全室地毯，這種東西在這時代罕見。
