Darn.  I thought I made that one up myself!	該死。我還以為那是我自己想到的呢！
One is a raging Saurus and the other is a soaring Magus!	一隻是狂暴的索魯斯，另一隻是飛行的法師！
I figured one was a dying lizard and the other was a flying wizard.	我猜一隻是奄奄一息的蜥蜴，另一隻是會飛的巫師。
Sorry, Fenrus, but "He who tells the jokes gets to make up the punch lines".	抱歉芬魯斯，不過「會說笑話的人才有權決定笑點」。
Did you hear the joke about the witches broom?	你聽過關於女巫掃帚的笑話嗎？
Oh.  That's a pity!	哦，真可惜！
That's odd.  It's sweeping the valley!	奇怪。它正在掃過山谷！
That one usually floors me, but I'm going to brush it aside before I'm swept away with laughter.	那個笑話通常讓我笑到不行，但在被笑聲淹沒前，我要把它擱一邊。
(Gag!)	（乾嘔！）
That was almost too easy...almost like climbing a ladder.	那太簡單了…簡直像爬梯子一樣。
The Baron von Spielburg looks like he was once a strong man, but sorrow has aged him greatly.	馮·史畢柏格男爵看起來曾經是個強壯的男人，但悲傷讓他蒼老了許多。
The Baronet looks his usual haughty self, although his clothes are a little neater than the last time you saw him.	男爵之子看起來依舊高傲自大，儘管他的衣著比你上次看到他時整潔一些。
The cupboard contains a variety of dishware and eating utensils.	碗櫃裡裝著各種碗盤和餐具。
The von Spielburg coat of arms:  Twin Saurus guarding, Winged Chevron, on a field Azure.	史畢柏格家族紋章：雙索魯斯守衛，有翼雪佛龍，藍色盾場。
The fireplace is cold and lifeless, the grate in front now only an ornament.	壁爐冰冷無生氣，前面的爐柵現在只是裝飾品。
The guards stand stiffly at attention behind the Baron's table.	衛兵們筆直地站在男爵餐桌後面。
The long tables are covered with dusty tablecloths.	長桌上蓋著佈滿灰塵的桌布。
Through the door, you can see the hallway through which you entered, and the stairs leading down to the main entrance.	從門裡可以看到你進來時經過的走廊，以及通往主入口的樓梯。
That would be inappropriate behavior here.	這樣的舉動在這裡不太得體。
The floor has not been cleaned in some time.	這地板已經有一陣子沒打掃了。
The Great Hall of Spielburg Castle is not very impressive.  The room is plain, with scuffed floors and grimy plastered walls.	史畢柏格城堡的大廳並不令人印象深刻。房間簡陋，地板磨損，牆面沾滿灰塵。
You are less than awed by Baron von Spielburg's Great Hall.  You'd think a Baron could keep his home a little cleaner.  You try to hide your disappointment.	你對馮·史畢柏格男爵的大廳並不感到讚嘆。你會認為一位男爵應該把家打掃得乾淨一點。你試圖隱藏你的失望。
"I sincerely hope you will continue on your valiant adventures in our land.  If anyone can rid the land of the brigands, it will be you."	「我真誠地希望你能在我們的地盤繼續你的英勇冒險。如果有人能清除山賊，那就是你。」
"Someday in the near future, I can envision holding a ceremony in your honor and bestowing upon you the title, 'Hero of the Land of Spielburg'."	「在不久的將來，我能想像為你舉辦典禮，並賜予你『史畢柏格之地的英雄』的稱號。」
"Just ask about anything you wish to know."	「儘管問你想知道的任何事。」
"I see that it is getting late."	「我看天色已晚。」
"Some years back, I tried to force the Ogress Baba Yaga to leave our valley, and she put a curse upon me that I should lose everything I held dear.	「數年前，我試圖強迫女食人妖芭芭雅嘎離開我們的山谷，她詛咒我失去一切珍愛的事物。」
"When I lost my daughter and my son, I lost all interest in living.  My lands have suffered because I suffered."	「當我失去女兒和兒子時，我對生活失去了所有興趣。我的領地受苦是因為我受苦。」
"Now, though, with the return of my son, I trust the prophecy may yet come true, thanks to you."	「但現在，隨著我兒子的歸來，我相信預言可能會成真，感謝你。」
"The prophecy stated,\n     Comes a hero from the East,\n     Free the man from in the beast;\n     Bring the child from out the band;\n     Drive the curser from the land."	「預言說，\n來自東方的英雄，\n解救獸形的人；\n救出被擄的孩子；\n驅逐詛咒者離開此地。」
"You entered here from the East, and you released my son from the form of a bear.  I am certain you can fulfill the rest of it, and remove this dreadful curse."	「你從東方進來，你把我的兒子從熊的形態中解救出來。我確信你能完成其餘的，並消除這可怕的詛咒。」
"I have attempted everything in my power to get her to go away.  I fear it will take some sort of magic to be able to counteract her evil magic."	「我已經盡力讓她離開。我擔心需要某種魔法才能對抗她邪惡的魔法。」
"I know very little of magic, much to my sorrow.  Perhaps you should talk to the wizards -- Zara in the town, or Erasmus on Zauberberg."	「我對魔法知之甚少，這讓我很遺憾。也許你應該去找法師──城鎮裡的札拉，或是魔法山上的伊拉斯謨。」
"Zauberberg, the 'magic mountain', is the home of Erasmus, a kindly, but rather eccentric, wizard.  Zauberberg is directly east of here."	「魔法山，『魔法之山』，是伊拉斯謨的家，一位友善但相當古怪的法師。魔法山在這裡的正東方。」
"My beautiful little daughter was stolen away ten years ago by Baba Yaga's magic."	「我美麗的小女兒十年前被芭芭雅嘎的魔法奪走了。」
"She has never been found, despite all the searching that has been done for her."	「儘管進行了大量搜尋，她始終沒有被找到。」
"My wife has been gone for many years."	「我的妻子已經離開我很多年了。」
"She died giving birth to Elsa, my daughter."	「她在生艾爾莎（我的女兒）時去世了。」
