Hi, Bridgette!	嗨，布麗琪特！
Don't you want to dance?	你不想跳舞嗎？
What for?  There's no one to dance with.	為什麼？沒人跟我跳舞啊。
What for?	為什麼？
You know all about it, now.	現在你全知道了。
Don't be greedy.  You already have some.	別貪心。你已經有一些了。
There is a ring of mushrooms on the northwest side of the clearing.	空地的西北邊有個蘑菇圈。
There aren't any of those around.	這附近沒有那種東西。
You see trees and brush.	你看到樹木和灌木。
For such wimpy-looking creatures, those fairies sure can play rough!  You never danced so hard in your entire life, which is now over.	這些看起來很弱不禁風的傢伙，妖精們竟然那麼兇悍！你一生從未跳過那麼猛烈的舞蹈，現在已經結束了。
You eat a few of the lovely mushrooms.	你吃了幾個美妙的蘑菇。
As the fairy dust sifts through your fingers, you realize that you needed something to put it into.	仙粉穿過你的手指時，你意識到需要某個東西來裝它。
The objects on the ground are a brigand's shield and spear.	地上的物品是山賊的盾牌和長槍。
The dead brigand's shield is not worth your while.	死山賊的盾牌不值得你動手。
You are using the old archery target for dagger practice.	你用舊弓箭靶來練習匕首。
The only daggers around here are the ones you've thrown at the target.	這裡唯一的匕首就是你扔在靶上的那些。
There are no useable spears near you.	你附近沒有可用的長槍。
These bushes are full of thorns. You decide not to risk it.	這些灌木全是荊棘。你決定不冒這個險。
Some marauding beast must have taken the brigand's body away.	某隻掠食野獸一定是把山賊的屍體帶走了。
You see nothing like that here.	你這裡沒看到這樣的東西。
The wall and buildings of Spielburg can be seen over the heavy brush.  An old target leans against the town wall.	隔著濃密的灌木可以看到史畢柏格的城牆和建築。一個舊靶子靠在城牆上。
You see a couple of hard-looking characters talking.  One looks like a thief; the other appears to be a fighter of some sort.	你看到幾個看起來兇悍的傢伙在談話。其中一個看起來像盜賊，另一個似乎是某種格鬥者。
"Seems the "hero" wandering around here has her leery.  She thinks he's going to go for the gold on her head."	「那個『英雄』在這裡到處遊蕩，讓她很警惕。她以為他會去奪她頭上的懸賞。」
