Please, show some respect.	拜託了，給點尊重。
Cheesecloth.	起司布。
Ladder up to the loft where the Healer has her personal quarters.  No, you can't go up the ladder.	通往閣樓的梯子，那是治療師的私人房間。不行，你爬不上去。
The makings of various potions.	各式藥水的材料。
Iron holder fit for a lit torch.	適合放點燃火把的鐵架。
This and that.	七七八八的東西。
Ingredients.	材料。
Petrified icicles and greens.	石化的冰柱和綠色植物。
The fragrance of the herbs mingle with some other rather pungent odors as you step into the Healer's house.	踏進治療師的家，草藥香與其他相當刺鼻的氣味混在一起。
"What can I do for you?  I can sell you potions if you like.  I also buy spell components if you are interested in gathering some for me."	「有什麼我能幫你的嗎？想要的話我可以賣你藥水。如果你有興趣幫我收集咒語成分，我也會買。」
"Don't mind me, I always have so much to do around here."	「別在乎我，我這裡總是忙得不可開交。」
You say to the Healer "I have been to visit the Dryad of the Woods.  She gave me a Magic Acorn and told me the formula for a potion to dispel enchantments!"	你對治療師說「我去拜訪了樹林的樹精。她給了我一個魔法橡果，還告訴我解除魔法的藥水公式！」
"Here is the Potion of Dispel!  Use it by splashing it on the victim of a magic spell.  Mind you, this won't work if the spell is caused by a magic item rather than a cast spell."	「這是解咒藥水！把它潑在魔法咒語的受害者身上就行。注意，如果咒語是由魔法物品引起的而不是施放的咒語，這招就不管用。」
"Thank you so much.  Oh, I'm so happy to have my ring back!"	「非常感謝。哦，我好高興能拿回我的戒指！」
You put the reward away and tell her she is welcome as you leave to avoid being kissed again.	你把獎勵收起來，趁著離開前告訴她不用客氣，免得再被親一次。
You can't offer what you don't have.	你沒有的東西無法提供。
"Annoy me not over matters so minor."	「別為小事煩我。」
The mountains rise quickly from this point and are covered with snow.	從這裡往上，群山急速上升，佈滿白雪。
The snow has melted in most of the forest, but here it is still heavy.	雪在大部分森林都融化了，但這裡積得還很厚。
You don't see a gem here.	這裡沒有寶石。
Fruit you have found, to fill all my food stores,\nThus filled the bargain, my gem you have bought.\nBrauggi has bartered, and all has been answered;\nThe mead it may mellow, and now I head home.	你尋得的果實填滿了糧倉，\n交易已成，寶石已買。\n布勞基交易成，一切已說；\n蜂蜜醇厚，我將歸家去。
"Oops!"  you say.  "I guess I don't have any fruit for you.  Sorry!"	「唉呀！」你說。「看來我沒有水果給你。抱歉！」
"In matters of magic, I am your master; Seek not to slay me with sendings so small."	「在魔法的事上，我才是高手；別想用那點小把戲來對付我。」
This large rock covers a Meep hole.	這塊大石頭蓋住了一個咪普洞穴。
A furry blue Meep	一隻毛茸茸的藍色咪普
A furry purple Meep	一隻毛茸茸的紫色咪普
A furry green Meep	一隻毛茸茸的綠色咪普
Try going over to where the Meeps are if you really want to hack them into little furry bits.	真想把他們砍成碎片的話，就去咪普們那邊吧。
You don't have a rock	你沒有石頭
You can't get that from where you're standing.	從你現在站的地方拿不到那個。
The Meeps would not appreciate it if you tried to take their fur -- the weather here is still very cold.	咪普們不會感激你拔它們的毛——這裡天氣還很冷。
You don't see a Spell Scroll here.	這裡沒有法術捲軸。
You don't see any baby Meeps at the moment.	現在看不到小咪普。
There seems to be an abundant supply of blue and purple Meeps.  If only they'd stay still for a moment, perhaps you could count them.	看起來有不少藍色和紫色的咪普。要是它們能靜一下，也許你就能數出來有幾隻。
The scroll is blank now, but once contained the Detect Magic spell.	捲軸現在是空白的，但曾經含有偵測魔法法術。
You don't see any Meeps to talk to at the moment.	現在看不到能說話的咪普。
"We use rocks for doors.  They keep us dry and warm."	「我們用石頭做門。它們讓我們保持乾燥溫暖。」
