Yuck!	呃！
Let's have some fun with it.	我們跟它一起玩吧。
Humans!  Why is it always humans?	人類！為什麼老是人類？
Go away.  You can't play!	滾開。你不能玩！
I think it wants to play with us.	我想它想跟我們玩。
Human, do you know how to dance?	人類，你會跳舞嗎？
How do you dance?	你怎麼跳舞？
Dance?	跳舞？
Dance??	跳舞？？
Will you dance for us?	你會跟我們跳舞嗎？
Can you dance?	你會跳舞嗎？
Then dance for us!	那就跟我們跳舞吧！
Humans can't dance.	人類不會跳舞。
Let's see you dance.	讓我們看你跳舞。
I bet you can't dance!	我打賭你不會跳舞！
Dance for us!	跟我們跳舞！
All he wants to do is dance.	他只想跳舞。
Let's see you!	讓我們看看你！
Dance!	跳舞！
Dance!!	跳舞！！
We can show it how, can't we?	我們可以教它怎麼跳，對吧？
We know how to make you dance.	我們知道怎麼讓你跳舞。
You can dance.	你會跳舞。
We love to teach you how to dance.	我們喜歡教你怎麼跳舞。
How to dance.	怎麼跳舞。
Dance?  Dance?	跳舞？跳舞？
Dance?  Dance!	跳舞？跳舞！
Dance!  Dance!	跳舞！跳舞！
Dance!  Dance!  Dance!	跳舞！跳舞！跳舞！
DanceDanceDanceDance!!	跳舞跳舞跳舞跳舞！！
Hee, Hee!	呵呵！
That's a dance?	那就是跳舞？
What can you expect from a human?	你還能對人類期望什麼？
Well, I think it's cute.	嗯，我覺得它很可愛。
You think anything is cute!	你覺得什麼都可愛！
Ha, ha, ha!	哈哈哈！
Ooooh!	喔喔喔！
It does know how to dance.	它真的會跳舞。
Wowie!	哇！
This is neat!	這真棒！
Gee, I didn't think it could do this.	天哪，我沒想到它會這樣。
Well, I just love it!	嗯，我就是喜歡它！
You love an Antwerp!	你喜歡一隻安特衛普！
Do not!!	才不！！
Do too!	是的！
So what do you want?	所以你要什麼？
Why are you here?	你為什麼在這裡？
Do you suppose it's hungry?	你覺得它餓了嗎？
What do humans eat?	人類吃什麼？
Fairies!	妖精！
Fairies?	妖精？
Everyone knows humans eat animals.	每個人都知道人類吃動物。
Yuckie!	噁心！
What are you bothering us for?	你幹嘛煩我們？
Why don't humans ever answer?	人類為什麼從不回答？
What is this all about?	這到底是怎麼回事？
What do you want from us?	你想要我們什麼？
He came into our circle!	他進入了我們的圈子！
Who invited you here?	誰邀請你來這裡的？
How rude!	多無禮！
You can't come in here!	你不能進來這裡！
Now you're really going to get it!	現在你真的要倒大楣了！
What an insult!	真是侮辱！
You'll just have to dance!	你就得跳舞！
Have to dance!	得跳舞！
Dance!  Dance!!	跳舞！跳舞！！
Dance!!  Dance!!  Dance!!	跳舞！！跳舞！！跳舞！！
Nyaah, nyaah!  You missed me!	呶呶！你沒抓到我！
It wants to play!	它想玩！
Can't get me!	抓不到我！
Naughty, naughty, naughty.	調皮、調皮、調皮。
Attercop, Attercop!	邪蛛、邪蛛！
Missed me, missed me...	沒抓到我、沒抓到我…
...now you've got to kiss me!	…現在你得親我！
Oooh!  Scary magic!	喔喔喔！可怕的魔法！
You'll never catch me.  Ha, ha!	你永遠抓不到我。哈哈！
Fairy dust is very magical.	仙粉很有魔法。
Is that why you're here?	那就是你在這裡的原因嗎？
Why should we give it any dust?	我們為什麼要給它仙粉？
It danced for us, didn't it?	它為我們跳舞了，對吧？
Well, I say we give it some dust.	嗯，我說我們應該給它一些仙粉。
That's because you have a crush on it.	那是因為你喜歡它。
Do not!	才不！
Dewdrop's in love with a human.	露珠喜歡一個人類。
Am not!	才不是！
Are too!	是啊！
If you love it, YOU give it some dust.	如果你喜歡它，你去給它仙粉。
Ick!  Not me...you!	嗯！不是我…是你！
You!	你！
No, You!	不，是你！
No way!  You!	不可能！是你！
Not me!  You!	不是我！是你！
Make Mikey do it.  She'll touch anything!	讓米基來做。她什麼都會摸！
Mikey!	米基！
All right, all right, but you all owe me!	好吧、好吧，但你們都欠我人情！
All right, human.	好吧，人類。
Hold out your hand and close your eyes.	伸出你的手，閉上眼睛。
You will get a big surprise!	你會得到一個大驚喜！
No peeking!	不許偷看！
I think it's cheating!	我覺得那是作弊！
Oh, just give it some dust!	喔，就給它一些仙粉吧！
You needed a bath, anyway.	反正你需要洗澡。
Our mushrooms are special!	我們的蘑菇很特別！
Yeah.  They're magical!	對。它們有魔法！
That's why we dance in rings of mushrooms.	這就是為什麼我們在蘑菇圈裡跳舞。
You better not come into our ring!	你最好別進入我們的圈子！
We never let humans into our ring.	我們從不讓人類進入我們的圈子。
It takes forever to get the smell out!	花很久才能把味道洗掉！
It spoils the magic when a human comes in.	當人類進入時，魔法就被破壞了。
It makes us very, very angry!	那讓我們非常、非常生氣！
We love our mushrooms!	我們喜歡我們的蘑菇！
We are magic!	我們就是魔法！
We make rainbows!	我們製造彩虹！
We dance to make the flowers grow.	我們跳舞讓花開。
We sing to make the colors.	我們唱歌製造顏色。
We're the prettiest things in the world!	我們是世界上最漂亮的東西！
We just want to have fun!	我們只想玩得開心！
Fairies live in forests.	妖精住在森林裡。
Fairies are GREAT!	妖精超棒！
This is our home.	這是我們的家。
Woods are wonderful!	森林真美妙！
We love trees!	我們喜歡樹木！
We love flowers!	我們喜歡花朵！
We rule the whole forest!	我們統治整個森林！
Don't tell the Dryad that!	別跟樹精說那個！
We make the trees grow!	我們讓樹木長大！
She protects the forest and everything.	她保護森林和一切。
She even protects us!	她甚至保護我們！
You'd better not make her mad!	你最好別惹她生氣！
She'll zap you.	她會電你。
