Introduction	序章
Start New Hero	建立新英雄
Restore Game	讀取進度
Go to Town	前往城鎮
Continue Normally	正常繼續
Where to, Hero?    	英雄,要往哪去?
The software you are now using was produced through the efforts of many people: designers, artists, programmers, musicians, and lots of other hard-working folks.	您現在使用的這套軟體,是由許多人共同努力打造的成果:設計師、美術、程式設計師、音樂家,以及許多辛勤付出的夥伴。
If you make copies of this software for any reason other than to make a personal backup, you are not only breaking the law, but raising the cost of software for all legitimate users.  PLEASE DO NOT MAKE ILLEGAL COPIES OF THIS GAME!  	若你基於個人備份以外的任何理由複製本軟體,不僅觸犯法律,更會推高所有正當使用者的軟體成本。請勿非法複製本遊戲!
Oh, by the way . . .  You will need the information contained in the printed documentation to successfully complete this game.  In other words, it's not just the law . . . It's a good idea. 	對了…你會需要印刷手冊裡的資訊,才能順利完成本遊戲。換句話說,這不只是法律問題…也是個好主意。
10 minute rest	休息 10 分鐘
30 minute rest	休息 30 分鐘
60 minute rest	休息 60 分鐘
Sleep all night 	睡到天亮
Stay awake    	保持清醒
You just can't sleep during the daytime.	你在白天就是睡不著。
You awake as the sun begins to rise.	你在旭日初升時醒來。
How long, Hero? 	要多久呢,英雄?
You're too impatient to rest right now.	你現在太焦躁,靜不下來休息。
After %d minutes rest, you feel better.  	After %d minutes rest, you feel better.  
Your hunger has been totally satisfied.  You don't need another piece of fruit.	Your hunger has been totally satisfied.  You don't need another piece of fruit.
The fruit is very soft and juicy. It would be impossible to keep in your pack.	The fruit is very soft and juicy. It would be impossible to keep in your pack.
The stone has been moved.	The stone has been moved.
The large stone appears to be ancient and deliberately placed.  Marks carved into the stone almost look like writing.	The large stone appears to be ancient and deliberately placed.  Marks carved into the stone almost look like writing.
In a hole, hidden beneath the ancient stone, someone has placed a scroll.	In a hole, hidden beneath the ancient stone, someone has placed a scroll.
You took the scroll.	You took the scroll.
The stone has the words "Erana's Peace" carved upon the top.  There are some runes carved along the side. 	The stone has the words "Erana's Peace" carved upon the top.  There are some runes carved along the side. 
It reads:  "If thy Will is Magic, so shall I share.  Open this Stone and claim what is there."	It reads:  "If thy Will is Magic, so shall I share.  Open this Stone and claim what is there."
The hole that was beneath the stone is empty. 	The hole that was beneath the stone is empty. 
No amount of physical effort will be able to move this stone.	No amount of physical effort will be able to move this stone.
The grasses in the meadow are covered over with flowers.	The grasses in the meadow are covered over with flowers.
All kinds of colorful and fragrant flowers and grasses cover the meadow.	All kinds of colorful and fragrant flowers and grasses cover the meadow.
The meadow is an oasis at the edge of the snowline.  The rocky hillside looks very steep and slippery.	The meadow is an oasis at the edge of the snowline.  The rocky hillside looks very steep and slippery.
You have all the flowers you need.	You have all the flowers you need.
As you pick a variety of the sweet-smelling flowers, they seem to glow in your hands.  You put them safely away.	As you pick a variety of the sweet-smelling flowers, they seem to glow in your hands.  You put them safely away.
You take another handful of the lovely, fragrant flowers.	You take another handful of the lovely, fragrant flowers.
This entire area is magical.  In particular, the fruit on the tree radiates magic, and you sense that a spell has been placed on the large stone.  All of the magic has a warm, nurturing feel to it.	This entire area is magical.  In particular, the fruit on the tree radiates magic, and you sense that a spell has been placed on the large stone.  All of the magic has a warm, nurturing feel to it.
