"Here lies an atheist..."	「這裡躺著一個無神論者…」
"All dressed up and nowhere to go."	「衣著華麗卻無處可去。」
Growing up out of the grave is an evil-looking plant with a slimy, poisonous sheen.	從墳墓中長出一株邪惡的植物，散發著黏稠、有毒的光澤。
The carving on most of the gravestones seems to have been either intentionally defaced or worn with time.	大多數墓碑上的雕刻似乎要麼被故意毀損，要麼被時間磨蝕。
The red root growing out of one of the graves has a strange and evil appearance.	從一個墳墓中長出的紅色根莖有著奇異而邪惡的外觀。
Everything here is already dead.	這裡的一切都已死亡。
You don't get ghosts.  Ghosts get YOU!	你不是在遇見鬼怪，鬼怪在遇見你！
You recall from somewhere that the most likely time to find ghosts is at night.	你從某處想起，最有可能找到鬼怪的時間是在夜晚。
You see transparent, decaying, writhing, slimy, undead fragments of undulating ectoplasm!	你看到透明、腐爛、扭動、黏稠的不死幽靈在波動著！
I DO believe in spooks!  I DO believe in spooks!  I DO, I DO, I DO believe in spooks!!	我相信幽靈！我相信幽靈！我真的相信幽靈！！
Don't annoy the rock 'n roll ghosts, unless you want to twist and shout with them!	不要激怒搖滾幽靈，除非你想和牠們扭動尖叫！
The ghost won't say boo to you.	這幽靈不會對你吱聲。
You can't seem to have a meaningful conversation with the ghosts.  Their thoughts are on another plane altogether.	你似乎無法和這些幽靈進行有意義的對話。牠們的思想完全在另一個世界。
But are they friendly spirits?  Just listen!  "Boo!"  Nope, guess not.	但牠們是善良的靈魂嗎？聽聽看！「嘩！」不，看來不是。
"Had I the ears to hear, or a mouth to speak, I'd do my best to make you shriek!"	「如果我有耳朵來聽，或有嘴來說，我會盡力讓你尖叫！」
Casper he's not.	牠不是卡斯帕。
"Boo hoo, I'm so unhappy here," says the ghost with a grave demeanor.	「嘸嘸，我在這裡太不開心了，」幽靈嚴肅地說。
Climbing this wall is too difficult for your current skill level, but keep practicing.	攀爬這面牆對你現在的技能等級來說太困難了，但要繼續練習。
This must be the town graveyard.  What a run-down place!	這一定是鎮上的墓地。多麼破敗的地方！
You wrench the mandrake plant free from the tombstone on which it has grown. You hear a scream like that of a dying child as you yank the root from the ground.	你用力從墓碑上掰下曼德拉草。當你從地面拉起根莖時，你聽到像瀕死的孩子一樣的尖叫。
It appears that the spirits frolic here during the dark hours.	看起來靈魂在黑暗時刻在這裡嬉戲。
You wrench the mandrake plant free from the tombstone on which it has grown. Somehow you thought this would be a lot harder.  You wonder if you did this right.	你用力從墓碑上掰下曼德拉草。不知怎地，你以為這會困難得多。你想知道你是否做對了。
The root shrivels and twists in your hands until nothing is left. Astonished, you look at your empty hands.	根莖在你手中枯縮扭曲，直到什麼都沒有了。驚訝地，你看著你的空手。
It's certainly creepy here even during the daylight hours.	即使在白天，這裡也確實令人毛骨悚然。
Your magical abilities are useless against the undead.	你的魔法能力對不死生物無用。
Practicing your knife throwing here could be a grave mistake.	在這裡練習刀投可能會是一個嚴重的錯誤。
Your magical abilities are useless against the undead.	你的魔法能力對不死生物無用。
You sense a spiritual coldness.	你感受到一股精神上的寒冷。
What a surprise -- there's magic all around here!  (After all, SOMETHING is making those spirits fly around, and it isn't the wind.)	多麼驚人——這裡到處都是魔法！（畢竟，有什麼東西在讓那些靈魂飛來飛去，而且不是風。）
The valley floor is covered by fine, moist soil with few large rocks.	山谷地面被細膩、潮濕的土壤覆蓋，大岩石很少。
I wouldn't if I were you -- what if you actually managed to grab a ghost or fetch a fetch?  You'd feel foolish (if not downright ghoulish).	如果我是你就不會——如果你真的抓到一個幽靈或施展取物術的取物術呢？你會感到愚蠢（如果不是徹底令人厭惡的話）。
Nothing grows in the dirt of the old graveyard.  Some of the graves appear to have been disturbed.	古老的墓地裡沒有任何東西生長。有些墳墓似乎被擾動過。
The graves seemed to be placed haphazardly in the tiny graveyard.  All appear to be old and poorly maintained.	這些墳墓似乎在這個小墓地中隨意放置。所有的都看起來又舊又維護不良。
The only things that can be opened here are graves, and you don't want to	這裡唯一能打開的是墳墓，而你不想…
It just ghosts to show you, "Sticks and stones may break YOUR bones"... but these ghosts haven't got any.	幽靈只是向你展示「木棍和石頭可能會打斷你的骨頭」…但這些幽靈沒有任何骨頭。
You feel a tingling sensation as you rub the unguent all over your body.	當你在全身塗抹軟膏時，你感到一陣刺痛。
The grass glows ghostly.	草地發出幽靈般的光芒。
The grass grows greener on the other side of the cemetery.	墓地另一邊的草長得更綠。
Sealed tombs are best left that way.	密封的墓穴最好保持那樣。
This is the tomb in which the Spielburg nobility have traditionally been buried.	這是史畢柏格貴族傳統上被埋葬的墓穴。
The forest surrounds the graveyard on three sides.	森林從三面包圍著墓地。
The wall is too difficult for your level of skill, but keep practicing.	這道牆對你的技能等級來說太困難了，但要繼續練習。
You would have trouble convincing people you are a Hero if you climbed the wall into town during the day.	如果你在白天爬牆進城，你將難以說服人們你是英雄。
The town wall looks more massive from this side.	從這一邊看，城鎮的牆看起來更龐大。
"If ya want a good time, try the 'Dragon's Breath' at the bar."	「如果你想玩得愉快，試試酒吧裡的『龍息』。」
"I think I hear your momma calling you."	「我好像聽到你媽媽在叫你。」
"Bug off."	「滾開。」
"Why don'tcha leave me alone?  I ain't done nothin'."	「你為什麼不留我一個人？我什麼都沒做。」
"Your boot's untied."	「你的靴子沒綁好。」
"You look nervous.  Why don'tcha take a walk and cool off."	「你看起來很緊張。你為什麼不去散步冷靜一下。」
"Hey, I'm just trying to make a buck.  No need to give me a hard time."	「嘿，我只是想賺點錢。不必給我難堪。」
Next to the town's wall, you notice a man who appears to be waiting for someone.  His dagger looks like a particularly deadly weapon, and the thief handles it with great skill.	在城鎮的牆邊，你注意到一個似乎在等待某人的男人。他的匕首看起來是一件特別致命的武器，而這個盜賊用極高的技巧操縱它。
Bruno looks very adept at throwing daggers, an altogether dangerous man.  You suspect he sees a lot through those shifty eyes.	Bruno 擅長投擲匕首，一個完全危險的人。你懷疑他透過那些狡詐的眼睛看到很多東西。
Dragon's Breath	龍息
Cemetery	墓地
Chief	首領
Crusher	克魯舍
Goblins	哥布林
Thieves' Guild	盜賊公會
Yaga's Hut	雅嘎的小屋
Monsters	怪物
Otto	奧圖
Password	密碼
Sheriff	治安官
"What's in it for me?  If ya give me a silver, I might have a bit of info you can use."	「我能得到什麼？如果你給我一個銀幣，我可能會告訴你一些有用的信息。」
"For two gold, I'll tell ya how to get into old Baba Yaga's hut."	「用兩個金幣，我會告訴你如何進入芭芭雅嘎的小屋。」
"Give me dough, ya know."	「給我錢，你知道。」
"A little silver might loosen my lip."	「一點銀幣可能會讓我多嘴。」
"For ten golds, I'll tell ya where to find some of the robbers what have been robbing people coming into the valley."	「用十個金幣，我會告訴你在哪裡找到一些搶劫進入山谷的人的盜賊。」
"Get outta my face."	「離我遠點。」
Bruno nods and makes the countersign.	Bruno 點了點頭，做出了反簽。
"Ya need ta talk to Sneak about the password.  Ya can find him in the alley at night."	「你需要和 Sneak 談論密碼。你可以在夜晚的小巷裡找到他。」
"Yeah, right, I already gave ya the sign once.  I don't like ta do things twice."	「是啊，沒錯，我已經給過你一次暗號了。我不喜歡做兩次。」
"Hahahaha!  Yeh, the antwerp is a good monster for you to fight.  It loves to play."	「哈哈哈！是的，安特衛普是一個適合你戰鬥的好怪物。牠喜歡玩。」
"She's an ugly hag who lives in a weird house who knows some magic.  Her place is due west of the Baron's place.  Can't miss it."	「她是一個醜陋的老巫婆，住在一個奇怪的房子裡，懂一些魔法。她的地方在男爵地方的正西。不會看不到。」
