It's just a bush. 	這只是一叢灌木。
It is a common bush. 	這是普通的灌木。
It's a small tree.	這是一棵小樹。
The handsome Centaur has a look of pride and dignity as he rakes his field.	英俊的半人馬邊整地邊展現出尊嚴和驕傲的神情。
The majestic Centaur watches you carefully.	莊嚴的半人馬小心地注視著你。
Centaurs	半人馬
Farm	農場
Field	田地
Fruit	水果
Harvest	收穫
Healer	治療師
Hilde	希爾德
Leader	領袖
Farmer's Mart	農民市集
Name	名字
Vegetables	蔬菜
"I'm sorry.  I know little about the Baron and his family."	「我很抱歉。我對男爵和他的家族知之甚少。」
"The brigands attacked me a few months ago.  I am a strong fighter and my hooves are deadly, but there were too many of them."	「山賊幾個月前襲擊了我。我是個強悍的戰士，我的蹄子很致命，但他們人太多了。」
"My right leg was broken, and there is no pride for a Centaur who cannot run. If it had not been for the unlikely intervention of their leader, I would be dead."	「我的右腿被折斷了，一個無法奔跑的半人馬沒有尊嚴可言。要不是他們領袖的出手相救，我早就死了。」
"We Centaurs are a very ancient and proud people."	「我們半人馬是古老而驕傲的民族。」
"I can grow enough on this little plot to feed my family and the village. You should see this field during the summer." 	「我在這小塊地上種的東西足夠養活我的家人和村子。你應該看看夏天時這片田地的模樣。」
"There is much work for me to do now and I bid you good day."	「我現在有很多工作要做，祝你午安。」
"In a couple of months, I'll have some cherries.  The apples won't ripen until fall."	「再過兩個月，我就會有櫻桃。蘋果要到秋天才會成熟。」
"We grow fine fruit in our little orchard and sell it at our stand in town."	「我們在小果園裡種著上等的水果，並在城裡的攤位賣出。」
"There you will find fresh cherries in the spring, peaches in summer, and apples in the fall."	「你會在那裡找到春季的新鮮櫻桃、夏季的桃子和秋季的蘋果。」
"It is truly a sight to see."	「那真是美景一樁。」
"The Healer lives just east of here.  She is very skilled with potions."	「治療師住在這兒的東邊。她很擅長製作藥水。」
"Hilde is a bright little filly.  I'm very proud of her."	「希爾德是個聰慧的小馬駒。我為她感到驕傲。」
"The leader came up after the brigands attacked me and forced them to stop, ordering them not to hurt people from the town."	「山賊襲擊我後，那位領袖出現了，強制他們停手，命令他們不得傷害城裡的人。」
"Then, to my amazement, the leader gave me a healing potion and had me carried to the Healer's house."	「然後，令我驚訝的是，那位領袖給了我一瓶治療藥水，還讓人把我抬去治療師的家。」
"It was hard to judge the leader, whose face was obscured by a large helm, but there was compassion unlike what one expects from a brigand."  	「很難判斷那位領袖的為人，因為他的臉被大頭盔遮住了，但他表現出的同情心卻不像一般山賊該有的。」
"Our stand is in the northeast corner of Spielburg."	「我們的攤位在史畢柏格的東北角。」
"The produce is not of the finest this time of year, but you will not find better than Pferdefedern fruit come harvest time."	「現在這季節的農產品不是最上等的，但到了收穫季，你找不到比費德芬水果更好的。」
"I am Heinrich Pferdefedern.  I live in town with my daughter Hilde who sells our produce on Market Street."	「我是海因里希·費德芬。我和我的女兒希爾德住在城裡，她在市集街賣我們的農產品。」
"There are a few carrots and potatoes left from last season, but I'm just starting to plant the crops now."	「上一季還剩下一些胡蘿蔔和馬鈴薯，但我現在才開始種植新的作物。」
