"Don't bother.  You've already paid, stupid."	「別費事了。你早就付過了，傻瓜。」
"I'm sorry, but you don't seem to have enough silver.  Come back when you qualify."	「抱歉，你似乎銀幣不夠。等你有錢再來吧。」
"There you are."	「你來了。」
"Let's see now... deducting the Guild cut, and allowing for resale markup, that comes to... 40 silvers.  Here you are." 	「讓我算算……扣掉公會的佣金，加上轉售加成，總共是……40 銀幣。給你。」
"Let's see now... deducting the Guild cut, and allowing for resale markup, that comes to... 150 silvers.  Here you are."	「讓我算算……扣掉公會的佣金，加上轉售加成，總共是……150 銀幣。給你。」
"Let's see now... deducting the Guild cut, and allowing for resale markup, that comes to... 90 silvers.  Here you are."	「讓我算算……扣掉公會的佣金，加上轉售加成，總共是……90 銀幣。給你。」
"Let's see now... deducting the Guild cut, and allowing for resale markup, that comes to... 100 silvers.  Here you are."	「讓我算算……扣掉公會的佣金，加上轉售加成，總共是……100 銀幣。給你。」
"Let's see now... deducting the Guild cut, and allowing for resale markup, that comes to... 500 silvers.  Here you are."	「讓我算算……扣掉公會的佣金，加上轉售加成，總共是……500 銀幣。給你。」
The boxes must be used to store what the thieves are lucky enough to steal in this town. 	這些箱子是用來放盜賊們在城裡撈到的戰利品。
You can tell where the bar is by the seep marks from spilled beer.	你可以從灑出來的啤酒漬跡找到酒吧。
"I don't have time to talk to unlicensed scum.  Pay your guild license fee, and then we can talk.  Why don't you do something constructive like stealing Otto's yo-yo?"	「我沒時間和沒執照的傢伙囉嗦。先付了公會執照費，我們再談。你為什麼不做點有建設性的事，比如偷奧圖的溜溜球？」
"Hey, nice game.  It's a tie."	「嘿，好手氣。平手。」
"You got me that time.  Say, you're pretty tough!"	「這回你贏我了。嘿，你還真厲害！」
"So, you think you're pretty hot stuff, eh?  Well, we'll see about that."	「所以你覺得自己很了不起，啊？我們走著瞧。」
"If you don't bet, you can't play."	「不下注就不能玩。」
"It's a tie.  Let's double the wager."	「平手。我們加倍賭注。」
"Looks like I won that one.  Must have gotten lucky."	「看來我贏了這一把。一定是我運氣好。」
"Hey!  This is cash on the table.  You can't bet what you don't have."	「嘿！這是真金白銀。你不能拿沒有的東西下注。」
"Now, let's not get carried away."	「好了，不要太衝動。」
"Beginners!  Why do they keep giving me beginners?"	「新手！為什麼老是給我配上新手？」
"It will cost you 25 silvers to work in town.  Just pay Boris at the door. If you don't have the cash, go steal some." 	「在城裡工作要付 25 銀幣。只要付錢給門口的柏瑞斯就行。沒錢的話就去偷啊。」
"I tell you, Crusher, that a thief of my stature and abilities should be stuck in a Po-Dunk town besieged by brigands who aren't even Union Members is the height of injustice!"	「我跟你說，克拉什，一個我這樣身份和能力的盜賊被困在這個被非工會山賊包圍的鳥不生蛋之地，根本是天大的不公道！」
From his expensive clothes to his carefully trimmed mustache, there is an air of sophistication about this villian. 	從他華麗的衣著到精心修剪的鬍子，這個惡棍身上散發著老練的氣質。
Accountant 	會計
Bet 	賭注
Board 	木板
Boris 	柏瑞斯
Daggers 	匕首
Fence 	贓物商
Game 	遊戲
Thieves' Guild 	盜賊公會
Otto 	奧圖
Scabs 	工賊
Secrets 	秘密
Spy 	間諜
Stealing 	偷竊
Thieves 	盜賊
Tips 	竅門
Town 	城鎮
"If you can't pay, don't play." 	「沒錢就別玩。」
"I have no time for idle talk.  Why don't you do something constructive like stealing Otto's yo-yo?"	「我沒時間閒聊。你為什麼不做點有建設性的事，比如偷奧圖的溜溜球？」
"We could start small, perhaps a silver a throw.  We each throw a dagger at the board and the dagger closest to center wins."	「我們可以小額開始，每次一銀幣吧。我們各拋一把匕首在木板上，最接近中心的匕首贏。」
"That is a specially designed Dagger Board."	「那是特別設計的匕首木板。」
"Boris is our accountant."	「柏瑞斯是我們的會計。」
"Those non-union cretins are giving thieves a bad name.  I'm sure they have a spy planted in our organization."	「那些非工會的白癡在給盜賊丟臉。我敢說他們在我們組織裡插了間諜。」
"Crusher is our personnel manager."	「克拉什是我們的人事經理。」
"A dagger is a thief's best friend.  If you ever get good with one, then perhaps we could play a little game."	「匕首是盜賊最好的朋友。如果你哪天練得不錯，也許我們可以玩個小遊戲。」
"Just give your stolen items to Boris and you will be duly recompensed.  Or in terms more suited to your apparent intellect, You get cash for your loot."	「只要把偷來的東西交給柏瑞斯，你就會得到應得的報酬。或者用更適合你腦子的說法，你拿贓物換現金。」
"You and I could throw some daggers at the board over there and bet upon which of us will throw better."	「你和我可以朝那邊的木板拋匕首，打賭誰拋得更準。」
"Where else but here can one mingle freely with others of our chosen profession, sharing tips and secrets?"	「還有哪裡能像這兒一樣，讓我們能和同行自在地交流、分享竅門和秘密？」
"Where else can you safely fence stolen items?  Where else can you ask questions like these and not be thrown into jail?" 	「還有哪裡能安全地銷售贓物？還有哪裡敢像這樣提問而不被丟進監獄？」
"The Guild is truly your home away from home."	「公會真的是你的第二個家。」
"I am known as 'The Chief'."	「我叫『首領』。」
"He is the Sheriff's goon."	「他是治安官的打手。」
"Those who do not pay their union dues are the lowest form of life."	「不交工會費的傢伙是最低等的生物。」
"That would be telling."	「那可不能說。」
