"How do you dance?"	「你怎麼跳舞？」
"Dance?"	「跳舞？」
"Dance??"	「跳舞？？」
"Will you dance for us?"	「你願意為我們跳舞嗎？」
"Can you dance?"	「你會跳舞嗎？」
"We can show it how, can't we?"	「我們可以教它跳舞，對吧？」
"We know how to make you dance."	「我們知道怎麼讓你跳舞。」
"You can dance."	「你會跳舞。」
"We love to teach you how to dance."	「我們喜歡教你跳舞。」
"How to dance."	「怎麼跳舞。」
"Dance?  Dance?"	「跳舞？  跳舞？」
"Dance?  Dance!"	「跳舞？  跳舞！」
"Dance!  Dance!"	「跳舞！  跳舞！」
"Dance!  Dance!  Dance!"	「跳舞！  跳舞！  跳舞！」
"DanceDanceDanceDance!!"	「跳舞跳舞跳舞跳舞！！」
"Ooooh!"	「噢喔喔喔！」
"It does know how to dance."	「它真的會跳舞。」
"Wowie!"	「天哪！」
"This is neat!"	「這太酷了！」
"Gee, I didn't think it could do this."	「天啊，我沒想到它能做到這個。」
"Well, I just love it!" 	「嗯，我就是喜歡它！」
"You love an Antwerp!"	「你喜歡安特衛普！」
"Do not!!"	「沒有！！」
"Do too!" 	「有的！」
"He came into our circle!"	「他進來我們的圈子！」
"Who invited you here?"	「誰邀請你來這裡？」
"How rude!"	「太無禮了！」
"You can't come in here!"	「你不能進來這裡！」
"Now you're really going to get it!"	「現在你真的會吃苦頭！」
"What an insult!"	「多麼侮辱！」
"You'll just have to dance!"	「你就只能跳舞！」
"Have to dance!"	「就只能跳舞！」
"Dance!  Dance!!"	「跳舞！  跳舞！！」
"Dance!!  Dance!!  Dance!!"	「跳舞！！  跳舞！！  跳舞！！」
"Hee, Hee!"	「呵呵！」
"That's a dance?"	「那算跳舞？」
"What can you expect from a human?"	「你能期望人類什麼？」
"Well, I think it's cute."	「嗯，我覺得它很可愛。」
"You think anything is cute!"	「你覺得什麼都可愛！」
"Ha, ha, ha!"	「哈哈哈！」
"Oh, it's you again!"	「噢，又是你！」
"Can you dance better now?"	「你現在能跳得更好嗎？」
"We love to watch you dance."	「我們喜歡看你跳舞。」
"You'd better play nice!"	「你最好乖乖聽話！」
"Did you meet the Dryad?"	「你見過樹精嗎？」
"We'd love to see you dance."	「我們很想看你跳舞。」
"Will you dance for us??"	「你願意為我們跳舞嗎？？」
"Will you dance?"	「你願意跳舞嗎？」
"Dance?  Dance??"	「跳舞？  跳舞？？」
"Dance???"	「跳舞？？？」
"How rude!!"	「太無禮了！！」
"Why, I never!"	「天哪，我從沒有！」
"Nobody tries that with us!"	「沒人敢這樣對我們！」
"Now you're really going to get it!!"	「現在你真的會吃苦頭！！」
"What an insult!!"	「多麼侮辱！！」
"You'll just have to dance!!"	「你就只能跳舞！！」
"Have to dance!!"	「就只能跳舞！！」
"Dance for us!!"	「為我們跳舞！！」
"Dance now!"	「現在跳舞！」
"Dance!!!"	「跳舞！！！」
"Nyaah, nyaah!  You missed me!"	「呶呶！  你沒逮到我！」
"It wants to play!"	「它想玩！」
"Can't get me!"	「抓不著我！」
"Naughty, naughty, naughty."	「頑皮、頑皮、真頑皮。」
"Attercop, Attercop!"	「阿特科普，阿特科普！」
"Missed me, missed me..."	「沒逮到我，沒逮到我…」
"...now you've got to kiss me!"	「…現在你得親我！」
"Oooh!  Scary magic!"	「哦喔！  嚇人的魔法！」
"You'll never catch me.  Ha, ha!"	「你永遠逮不著我。  哈哈！」
"So what do you want?"	「那你想要什麼？」
"Why are you here?"	「你為什麼在這裡？」
"Do you suppose it's hungry?"	「你覺得它餓了嗎？」
"What do humans eat?"	「人類吃什麼？」
"Fairies!"	「妖精！」
"Fairies?"	「妖精？」
"Everyone knows humans eat animals."	「大家都知道人類吃動物。」
"Yuckie!"	「嘔心！」
"What are you bothering us for?"	「你為什麼要來煩我們？」
"Why don't humans ever answer?"	「人類為什麼從不回答？」
"What is this all about?"	「這到底是怎麼回事？」
"What do you want from us?"	「你想要我們什麼？」
"Wow!"	「哇！」
"This is boring!"	「這太無聊了！」
"Is that all you care about?"	「那就是你在乎的？」
"Shall we dance again?"	「我們再跳一次舞好嗎？」
"What about the human?"	「人類呢？」
"Maybe if we ignore it, it'll go away!"	「也許我們不理它，它就會走開！」
"Let's dance!"	「我們跳舞吧！」
"She protects the forest and everything."	「她保護森林和所有東西。」
"She even protects us!"	「她甚至保護我們！」
"You'd better not make her mad!"	「你最好別惹她生氣！」
"She'll zap you."	「她會電擊你。」
"Her tree is nearby."	「她的樹就在附近。」
"The Dryad is a tree nymph."	「樹精是樹木精靈。」
"She's very magical."	「她非常有魔法。」
"Fairy dust is very magical." 	「妖精之塵非常有魔法。」
"Is that why you're here?"	「所以你是為了這個才來嗎？」
"Why should we give it any dust?"	「我們為什麼要給它妖精之塵？」
"It danced for us, didn't it?"	「它為我們跳舞了，不是嗎？」
"Well, I say we give it some dust."	「嗯，我說我們應該給它妖精之塵。」
"That's because you have a crush on it."	「那是因為你喜歡它。」
"Do not!"	「沒有！」
"Dewdrop's in love with a human."	「露珠愛上了人類。」
"Am not!"	「才沒有！」
"Are too!"	「有的！」
"If you love it, YOU give it some dust."	「如果你喜歡它，你就給它妖精之塵。」
"Ick!  Not me...you!"	「呃！  不是我…是你！」
"You!"	「你！」
"No, You!"	「不，是你！」
"No way!  You!"	「不行！  是你！」
"Not me!  You!"	「不是我！  是你！」
"Make Mikey do it.  She'll touch anything!"	「讓米基做。  她什麼都摸。」
"Mikey!"	「米基！」
"All right, all right, but you all owe me!"	「好吧好吧，但你們都欠我一個人情！」
"All right, human."	「好吧，人類。」
"Hold out your hand and close your eyes."	「伸出你的手，閉上眼睛。」
"You will get a big surprise!"	「你會得到一個大驚喜！」
"We are magic!"	「我們就是魔法！」
"We make rainbows!"	「我們製造彩虹！」
"We dance to make the flowers grow."	「我們跳舞讓花朵生長。」
"We sing to make the colors."	「我們唱歌製造顏色。」
"We're the prettiest things in the world!"	「我們是世界上最漂亮的東西！」
"We just want to have fun!"	「我們只是想玩得開心！」
"Fairies live in forests."	「妖精住在森林裡。」
"Fairies are GREAT!"	「妖精很棒！」
"This is our home."	「這是我們的家。」
"Woods are wonderful!"	「森林太棒了！」
"We love trees!"	「我們喜歡樹木！」
"We love flowers!"	「我們喜歡花朵！」
"We make the trees grow!"   	「我們讓樹木生長！」
