Karl the gatekeeper. 	卡爾·守門人。
Granny and her kitty. 	老奶奶和她的小貓。
Lori  Ann  Cole 	洛瑞·安·柯爾
"You have defeated the brigands And become a true Hero of Spielburg."	「你打敗了山賊,成為史畢柏格真正的英雄。」
The minotaur. 	米諾陶。
Oliver  Brelsford	奧利佛·布雷爾斯福德
The sheriff and Otto. 	治安官與奧圖。
Richard  Aronson	理查德·亞倫遜
Richard  Powell	理查德·鮑威爾
Roger  Hardy	羅傑·哈迪
The swordmaster. 	劍術大師。
Tom  DeSalvo	湯姆·德薩爾沃
Vana  Baker	瓦娜·貝克
Willis  Wong	威利斯·翁
Zara and the shopkeeper. 	札拉和店主。
The save character file has been created.  Save this disk for use with "Quest for Glory II:  Trial By Fire" from Sierra On-Line. 	角色存檔已建立。請保存此磁片以在 Sierra On-Line 的「英雄傳奇 II:烈火之試煉」中使用。
Could not create file.	無法建立檔案。
   Wow!  You're Really A Hero!  [score %d	   哇!你真是英雄!  [得分 %d
of 500]	分 500]
Congratulations!  You have successfully completed "Quest for Glory I:  So You Want To Be A Hero." 	恭喜!你已成功完成「英雄傳奇 I:所以你想成為英雄。」
If you have not already done so, we encourage you to play "Quest for Glory I" again with the other two character types; many of the puzzles are different, or have alternate solutions.	如果你還沒這樣做,我們鼓勵你再次用其他兩種角色類型進行「英雄傳奇 I」;許多謎題不同或有其他解決方案。
In the meantime, you are already a winner!  Please insert a writeable disk in your floppy drive to save your winning Hero for use in "Quest for Glory II: Trial By Fire" (available at better software stores everywhere -- if you don't see it on the shelf, ask for it!) 	在此之前,你已是贏家!請在軟碟機中插入可寫入的磁片,以保存你贏得的英雄供「英雄傳奇 II:烈火之試煉」使用(在所有較好的軟體商店購得 -- 如果架上沒看到,請詢問!)
The save character file has been created.  Save this disk for use with "Quest for Glory II:  Trial By Fire" from Sierra On-Line.	角色存檔已建立。請保存此磁片以在 Sierra On-Line 的「英雄傳奇 II:烈火之試煉」中使用。
Thank you for playing "Quest for Glory I:  So You Want To Be A Hero," and congratulations again on winning.  We'll see you again soon in "Quest for Glory II:  Trial By Fire."  	感謝你遊玩「英雄傳奇 I:所以你想成為英雄」,再次祝賀你的勝利。我們很快就會在「英雄傳奇 II:烈火之試煉」中與你相見。
CONGRATULATIONS!!  You have successfully completed "Quest for Glory I:  So You Want To Be A Hero" with the maximum possible score, 500 of 500!! We welcome you to the ranks of the few, the proud, the True Heroes!	恭喜!!你已以最高分(滿分 500 分)成功完成「英雄傳奇 I:所以你想成為英雄」!!我們歡迎你加入少數真正英雄的行列!
Congratulations!  You have successfully completed "Quest for Glory I:  So You Want To Be A Hero."  Your final score was %d	恭喜!你已成功完成「英雄傳奇 I:所以你想成為英雄。」你的最終得分為 %d
of 500 possible Puzzle Points.	分(滿分 500 拼圖分)。
Please answer "y" or "n".	請回答「y」或「n」。
   So You've Become A Hero!  [score %d of 500]	   所以你成了英雄!  [得分 %d 分 500]
The brigand band has been dispersed, Their treasure has been reimbursed.	山賊幫已被驅散,他們的寶藏已被賠償。
Marathon Coding and Rude Puns:  Bob Fischbach 	馬拉松編程和粗魯雙關語:  鮑勃·費施巴赫
You have defeated the brigands and become a true Hero of Spielburg. 	你打敗了山賊,成為史畢柏格真正的英雄。
Underground Art:  Cindy Walker 	地下藝術:  辛迪·沃克
Insidious System Software:  Corey Cole 	陰險系統軟體:  科瑞·柯爾
Unfortunately, since the Baron is still cursed, and Baba Yaga remains to work her evil deeds, terror will continue to rule the land.	不幸的是,因為男爵仍被詛咒,芭芭雅嘎仍在進行邪惡勾當,恐怖將繼續統治這片土地。
Yogic Sympathy and Support:  Guruka Singh Khalsa 	瑜伽同情與支持:  古魯卡·辛格·卡爾薩
Hey, where's Half Dome?! 	嘿,半圓頂哪裡去了?!
Thus the hero from the East Freed the man from form of beast Saved beauty from the brigand's band And forced the Ogress to flee the land.	因此,來自東方的英雄 解放了獸形的人 拯救美人脫離山賊魔爪 並迫使食人妖逃離這片土地。
Silly Stuff:  Jeff Crowe 	蠢事:  傑夫·克羅
Next Generation Graphics:  Jerry Moore 	下一代圖形:  傑里·摩爾
And so with Kattas and Abdulla Doo, You bid the valley a fond adieu.	因此,與卡塔族和阿布杜拉·嘟一同, 你與山谷道別。
Vicious Art:  Kenn Nishiuye 	惡毒藝術:  肯·西修耶
Algorithmic Gyrations:  Larry Scott 	算法旋轉:  拉里·斯科特
Script and Whip:  Lori Ann Cole 	腳本和鞭子:  洛瑞·安·柯爾
Magical Mystical Music:  Mark Seibert 	神奇神秘音樂:  馬克·塞伯特
Promotional Considerations: Erasmus' Rootin' Tootin' Root Beer Spielburg Chamber of Commerce Shapeir Magic Carpet Tours Famous Adventurer's Correspondence School for Heroes	宣傳考慮:伊拉斯謨的根汀圖汀根啤酒 史畢柏格商會 沙皮爾魔毯旅遊 著名冒險者通信英雄學校
Cameo Coding:  Jerry Shaw 	客串編程:  傑里·肖
Pine needles, small moss-covered rocks, and early spring grasses cover the forest floor. 	松針、小苔蘚覆蓋的岩石和初春的草類覆蓋森林地面。
The clearing in which you stand is grassy and littered with blown pine needles and small mossy rocks.	你站立的空地長滿草,散落著吹來的松針和小苔蘚岩石。
Hey!  This is a CLEAN game.  Don't be a litterbug! 	嘿!這是個乾淨的遊戲。別亂扔東西!
You'd better not drop that if you ever want to become a hero. 	如果你想成為英雄,最好別丟掉那個。
The late frosts of winter give way to to the greenery of spring.  There is the crisp smell of cedar in the air.  This forest seems to be unusually still and quiet. 	冬季的晚霜讓位於春天的蒼翠。空氣中有雪松的清新香氣。這片森林似乎異常寧靜。
You are in a clearing at the edge of the forest.  You are faced with impassably steep, rocky escarpments on two sides.	你在森林邊緣的空地上。兩側面對著難以通行的陡峭岩壁。
The forest smells alive with spring, but beware!  You, too, could be part of the food chain. 	森林在春天裡生氣蓬勃,但當心!你也可能成為食物鏈的一部分。
The rocks don't want that. 	岩石不想那樣。
Mt. Everest, circa 8 zillion BC.  (It gets bigger). 	珠穆朗瑪峰,約 8 兆年前。(它變得更大)。
Boulder Colorado.  Or Dam. 	博爾德科羅拉多。或大壩。
Gibraltar they ain't. 	他們不是直布羅陀。
There are gallons of rocks here (more than quartz, eh?) 	這裡有大量的岩石(比石英多,嗯?)
Oliver Stone. 	奧利佛·斯通。
Those rocks look solid enough to be taken for granite. 	那些岩石看起來堅實到足以誤認為花崗岩。
You don't WANT to see the kidneys these stones came out of. 	你不想看到這些石頭來自的腎臟。
Stone-age basketballs, perhaps. 	石器時代的籃球,也許。
Rock Hudson. 	洛克·哈德遜。
Those aren't the marbles you lost. 	那些不是你丟失的彈珠。
Pebble Beach. 	鵝卵石灘。
Roc's eggs?  Or rock eggs? 	洛克的蛋?或岩石蛋?
Corning never made these hunks of silicon. 	康寧從未製造過這些矽塊。
You hear a stony silence. 	你聽到石頭般的沉默。
