"Ahh!"	「啊!」
"Did you hear the joke about the witches broom?"	「你聽過關於巫婆掃帚的笑話嗎?」
"That's odd. It's sweeping the valley!"	「這有點奇怪。它正在清掃山谷!」
"Oh, That's a pity!"	「哦，真是可惜啊!」
"Let's just brush that one aside, shall we?"	「那我們就別提這個了，好吧?」
"Do you know the difference between a Cheetaur and a comma?"	「你知道獵豹人和逗號的差別嗎?」
"A Cheetaur has claws at the end of its paws, and a comma is a pause at the end of a clause!"	「獵豹人的爪子在牠的爪掌尖端，而逗號是句子末尾的停頓!」
"Spoilsport!"	「掃興鬼!」
"Do you know which has more legs, one cow or no cow?"	「你知道哪個腿更多，一隻牛還是沒有牛?」
"You're right!  NO cow has more than four legs.  These are too easy."	「你說得對!沒有牛腿數超過四條。這些太簡單了。」
"Too easy, huh?  Well, I'll just have to think of a better one."	「太簡單了?好吧，我得想個更好的笑話。」
"Do you know what time it is when Otto walks through your door?"	「你知道奧圖走進你家門的時間是幾點嗎?」
"Time to get a new door!"	「該換個新門了!」
"So you've meet Otto already."	「所以你已經見過奧圖了。」
"Do you know what's big, purple, and eats ungefaehr-liche dinge?"	「你知道什麼又大又紫，還吃危險東西嗎?」
"Big, purple ungefaehr-liche dinge eaters!"	「又大又紫的危險東西吃貨!」
"Well... let me figure out something tougher."	「嗯...讓我想想更難的。」
"Large purple ungefaehr-liche dinge eaters are all too common in the forest these days."	「現在森林裡又大又紫的危險東西吃貨到處都是。」
"Is it true that a monster can't hurt you if you're carrying a torch?"	「如果你拿著火把，怪物就傷不了你，是真的嗎?」
"Actually, it depends on how fast you carry it!"	「實際上，那要看你揮得多快啊!」
"Do you know the difference between a wounded Triceratops and a magic user casting the 'Fly' spell?"	「你知道受傷的三角龍和法師施放『飛行術』的差別嗎?」
"One is a raging Saurus and the other is a soaring Magus!"	「一個是狂怒的索魯斯，另一個是騰空的魔法師!」
"Darn, I thought I made that one up myself!"	「該死，我以為是我自己想出來的!」
"I figured one was a dying lizard and the other was a flying wizard."	「我以為一個是奄奄一息的蜥蜴，另一個是飛行的巫師。」
"Sorry, Fenrus, but 'He who tells the jokes gets to make up the punch lines'."	「抱歉，芬魯斯，『講笑話的人有權決定笑點』。」
"Do you know what you get when a Tyrannosaurus running 25 mph eastward meets another Tyrannosaurus running 15 mph westward?"	「你知道一隻以時速 25 英里向東跑的暴龍遇上一隻以時速 15 英里向西跑的暴龍會發生什麼嗎?」
"Tyrannosaurus wrecks!"	「暴龍大碰撞!」
"That was a smashing good joke, I think."	「我想那是個很不錯的笑話。」
It would be polite to wait until Erasmus puts down his cup of tea before asking any more questions.	等伊拉斯謨放下他的茶杯再問他其他問題會更有禮貌。
It would be best to wait until Erasmus puts down his cup of tea before asking any questions.	等伊拉斯謨放下他的茶杯再問他任何問題是最好的做法。
As you stare at the steepness of the staircas, you figure that either the wizard is a fitness fanatic, or he uses a lot of "teleport" spells.	看著陡峭的樓梯，你心想巫師要嘛是健身狂，要嘛就經常用『傳送術』。
The table is elaborately carved on the sides.  Erasmus has a teacup on the table in front of him.	桌子側面雕刻精美。伊拉斯謨面前的桌上放著一個茶杯。
The walls look like they were formed out of living rock.  (You just hope it doesn't get hungry while you're here.)	牆壁看起來像是由活石形成的。(你只希望它在你待著期間不會餓肚子。)
To the east, the peaks of the Wolf's Bane Mountains are clearly visible.	向東方向可以清楚看見狼禍山脈的山峰。
That's odd.  You could have sworn it was nighttime, yet daylight is streaming in through the window.  When is this place, anyway?	這很奇怪。你本來可以發誓這是夜間，但陽光卻從窗戶射進來。這地方到底是什麼時候啊?
Click on the Magic Flask to drink a Magic Power Potion while playing the game.	遊戲時點擊魔法瓶可以喝一個魔法藥水。
The drink burns as it goes down.	這個飲料喝下去時會灼燒。
You don't have a Magic Power Potion.	你沒有魔法藥水。
Sorry, but you don't know that spell.  (Now don't you feel guilty that you lied to Erasmus about knowing it?)	抱歉，你不知道那個魔法。(現在你是不是為對伊拉斯謨撒謊說你會而感到內疚?)
"As I promised, I shall now teach you the spell known as 'Erasmus's Razzle Dazzle'."	「如我承諾，我現在要教你叫『伊拉斯謨的眩目術』的魔法。」
The magic just isn't there.	根本沒有足夠的魔法。
"Well!  You don't have to rub it in, you know!"	「好吧!你不用這樣嘲笑我，你知道吧!」
"Too much for you?  I guess you should work on your magic.  Maybe next time you'll be more of a challenge."	「這對你來說太難了?我想你應該多練習魔法。也許下次會更有挑戰。」
"Guess I still have the knack for the old Maze game."	「看來我對老迷宮遊戲還是有一手的。」
You hear the sound of dainty footsteps behind you.	你聽到身後傳來輕快的腳步聲。
There's no path to the west, only bushes.	西邊沒有路，只有灌木叢。
The eastern path is completely blocked by bushes.	東邊的路被灌木叢完全擋住。
The grass seems to grow well here.	這裡的草長得很茂盛。
The castle of the Baron Stefan von Spielburg, lord of this valley.	史蒂芬·馮·史畢柏格男爵的城堡，這個山谷的領主。
Nobody is here to open the portcullis.	沒有人在這裡打開城門。
"Come in.  Come in.  You have been expected.  Baron von Spielburg awaits you in the castle."	「進來。進來。我們一直在等你。馮·史畢柏格男爵在城堡裡等你。」
"Well, enter the castle grounds!"	「那就進入城堡吧!」
"Who's there?  Come out and show yourself!"	「誰在那兒?出來讓我看看!」
"Are you speaking to me?"	「你在跟我說話嗎?」
"Please step where I can see you."	「請走到我能看到的地方。」
You can't see much of the gatekeeper over the battlements.	你無法從城牆看到守門人的太多細節。
Baba Yaga	芭芭雅嘎
Baroness	男爵夫人
Baron	男爵
Barnard	巴納德
Brigands	山賊
