    Flowers from Erana's Peace  	    伊瑞娜的安寧之地的鮮花
Let's see, to make the Dispel Potion I still need: %s %s %s %s %s	讓我想想，要做解除魔法藥水我還需要：%s %s %s %s %s
    Flying Water 	    飛水
You see a middle-aged woman with rosy cheeks and smile lines around her eyes.	你看到一位中年婦女，紅潤的雙頰和眼角帶著笑紋。
Magic Acorn	魔力橡果
Troll Beard	巨魔鬍鬚
Cheetaur Claws	獵豹人爪子
Dispel Potion	解除魔法藥水
Dryad	樹精
Fairy Dust	妖精粉
Farmer	農夫
Flasks	藥瓶
Flowers	鮮花
Flying Water	飛水
Fairy Ring	妖精環
Green Fur	綠色毛皮
Healing Potion	治療藥水
Power Potion 	法力藥水
Mandrake Root	曼德拉根
Mushrooms	蘑菇
Erana's Peace	伊瑞娜的安寧之地
Pet	寵物
Potions	藥水
Pterosaur	翼龍
Reward	獎勵
Ring	戒指
Son	兒子
Spell Components	法術成分
Floating Spirits	漂浮靈魂
Stamina	耐力
Undead Unguent	不死藥膏
Vigor Potion	活力藥水
Zombies	喪屍
She is a rather motherly-looking woman with a look of vagueness that belies her shrewdness.  She wears an apron over her dress and a scarf wrapped around her head. 	她是一位看起來很像母親的女性，眼神飄渺卻掩不住她的敏銳。她穿著圍裙，頭上綁著頭巾。
"My ring is shaped in gold like a braid of the herb Athelas with entwined leaves.  I will give six golds to the person who returns my ring." 	「我的戒指是用黃金打造，造型像是艾瑟拉斯草編織的花辮，葉子交織在一起。我會給找到我戒指的人六枚金幣。」
"I have already given you your reward for the return of my ring." 	「我已經給過你找到我戒指的獎勵了。」
"The only place you can get a magic acorn from is a Dryad's oak tree."	「魔力橡果只能從樹精的橡樹上取得。」
"Poor man, he hasn't been the same since his son and daughter were taken from him."	「可憐的人，自從他的兒子和女兒被帶走後，他就再也不像以前那樣了。」
"The Trolls around here are tough monsters that cannot stand the light of day and so are found only at night or in caves." 	「這一帶的巨魔是很難纏的怪物，無法忍受日光，所以只在夜間或山洞裡出沒。」
"They are very difficult to kill, but I will pay two healing potions for the beard of a troll."	「它們很難殺死，但我願意為巨魔的鬍鬚付出兩瓶治療藥水。」
"Those brutes!  I'm always having to heal someone they've beaten up and robbed.  I hate thieves."	「那些野獸！我總是要治療被它們毆打和搶劫的人。我討厭小偷。」
"You can see Spielburg castle from my yard outside.  The Baron lives there with only his guards for company, so I hear."	「從我外面的院子裡能看到史畢柏格城堡。我聽說男爵住在那裡，只有衛兵陪伴。」
"The Cheetaur looks like a cross between a panther and a man.  It is vicious and tough."	「獵豹人看起來像是黑豹和人類的混合體。它很兇殘且強悍。」
"Unless you are a very tough fighter, you had best try to get away from it. If you do manage to kill it, then I will pay you five silvers for each claw." 	「除非你是很強的戰士，否則最好還是逃跑。如果你真的殺死它，我會為每根爪子付你五枚銀幣。」
"The dear child, I can still picture her with her beautiful blond hair done up in braids.  She was so sweet.  It is hard to believe she is gone."	「親愛的孩子，我還能想像她那美麗的金色頭髮編成花辮。她那麼溫柔。很難相信她已經不在了。」
"If you know the ingredients and then bring them here, I can make you such a potion."	「如果你知道配方的材料並帶來，我可以為你製作這種藥水。」
"I had heard that there was a Dryad in the woods somewhere.  I've never met anyone who actually spoke with her before.  How very interesting."	「我聽說森林裡的某處有樹精。我從未遇過真正和她說過話的人。真有意思。」
"Fairy Dust obviously comes from fairies.  They dance around mushroom rings when it is night.  Fairies are magical beings, so be careful around them."	「妖精粉顯然來自妖精。當夜幕降臨時，她們在蘑菇圈周圍舞蹈。妖精是魔法生物，所以要小心她們。」
"Would you believe the brigands almost killed him a while back?  Fortunately their leader made them bring Heinrich here where I could heal him." 	「你能相信山賊曾幾乎殺死他嗎？幸好他們的首領命令他們把海因里希帶到我這裡，我才能救他。」
"I will pay you one silver for each empty flask you bring me so I can use it for more potions."	「我會為你帶來的每個空藥瓶付一枚銀幣，這樣我就能用它製作更多藥水。」
"I use flowers from Erana's Peace to the north in nearly all my potions. They have some of the magic of the place even when they are dried.  I will pay you five silvers for a flask full of flowers."	「我在幾乎所有藥水中都使用北方伊瑞娜的安寧之地的花朵。即使乾燥後，它們仍保有那個地方的魔力。我會為一瓶滿滿的花朵付你五枚銀幣。」
"I'm not sure what kind of water that is."	「我不確定那是什麼水。」
"A Fairy Ring is a circle of mushrooms.  Fairies dance in them at night, which makes the mushrooms very magical.  Those fairies are cute, but they play rough!"	「妖精環是由蘑菇圍成的圓圈。妖精在夜間在其中舞蹈，使蘑菇充滿魔力。那些妖精很可愛，但她們玩得很粗野！」
"I've never heard of a monster around here with green fur.  Rare things are sometimes by their nature magical."	「我從未聽說過這裡有綠色毛皮的怪物。稀有物品有時生來就具有魔法性質。」
"Well, my name is Amelia Appleberry, but mostly I am just known as the Healer.  I will be happy to sell you some potions.  I live here with my pet, Pterry."	「嗯，我叫阿蜜莉亞·蘋果莓，但大多數人都叫我治療師。我很樂意賣你一些藥水。我和我的寵物派瑞住在這裡。」
"This potion is used to heal damage and keep wounds from getting worse.  It has gotten pretty dangerous around here, and a Healing Potion can be quite useful in a serious situation."	「這種藥水用來治療傷害並防止傷口惡化。這裡變得很危險，治療藥水在危急情況下能派上大用場。」
"I heard the brigand Leader ordering those nasty men to bring poor Heinrich here after they hurt him so.  I gave them all a good scolding, you can imagine." 	「我聽到山賊首領下令那些壞傢伙把可憐的海因里希帶到我這裡，在傷害他之後。你可以想像我狠狠地罵了他們一頓。」
"Power Potions restore the energy needed to cast spells."   	「法力藥水恢復施放法術所需的能量。」
"I have the skill to use my magic to create potions.  I am a bit proud about it; not everyone can do that, you know." 	「我有用魔法創造藥水的技能。我對此有點自豪；不是每個人都能做到的。」
"Mandrake root is used in a variety of spells, mostly for evil purposes. Mandrake must be pulled from a dead man's grave at midnight.  The root is particularly powerful." 	「曼德拉根用於各種法術，大多是邪惡目的。曼德拉根必須在午夜從死人的墳墓拔起。這種根特別強大。」
