Gaunts	瘦骨怪
Luck	幸運
"Silver for the poor, Gold for the poor." 	「銀幣給窮人，金幣給窮人。」
Night	夜晚
"About time I got back to work.  Alms for the poor.  Alms!" 	「該回去工作了。施捨給窮人。施捨!」
South	南方
Spell	法術
Thieves	盜賊
Traders	商人
The back wall is one of the best examples of a perpendicular wall that you have ever seen.  It reminds you of the time when you thought about climbing Mount Everest.  	這面後牆是你見過垂直牆壁的最佳典範。它讓你想起了曾考慮攀登聖母峰的時光。
An early model of a hot dog stand -- or could it be a hamburger stand? 	一個早期型號的熱狗攤——或者它是漢堡攤?
You can't make them out from here.	你從這裡看不清楚他們。
Some sharp, pointy object appears to have been thrown at these walls several times. 	看起來有些尖銳的物體被多次投擲到這些牆上。
You'll need more practice before you'll be able to climb this wall.	你需要更多練習才能攀爬這面牆。
This grubby place must be an alley.  It feels strange here, colder than the rest of town.  There are some barrels discarded here.  A Beggar holds out a bowl towards you.	這個骯髒的地方一定是條小巷。這裡感覺很奇怪，比城鎮其他地方更冷。這裡有些丟棄的桶子。一個乞丐朝你伸出一個碗。
Nice place.  How does this guy expect to make a living begging in this alley? 	好地方。這傢伙怎麼指望在這條小巷裡靠乞討維生呢?
The walls seem pretty normal, but there are some curious marks on the north ends of the buildings.	牆壁看起來很正常，但建築物的北端有些奇怪的痕跡。
The barrels are empty.  One smells of sour beer.  Another barrel reeks of Troll's Sweat. 	桶子是空的。一個聞起來像酸啤酒。另一個桶子散發著巨魔之汗的臭味。
Looks like this barrel once contained Dragon's Breath.  The bottom's eaten out.	看起來這個桶子曾經盛過龍息。底部已經被腐蝕穿了。
That's a pretty tall wall.	這是一堵相當高的牆。
That wall sure is tall.  You'll need to practice some more before you'll be ready to climb it.	那堵牆確實很高。你需要再練習一下才能準備好攀爬它。
You just see a glint from here.	你從這裡只能看到一道閃光。
It's a glowing golden coin.	這是一枚發光的金幣。
Some sharp object appears to have been thrown at these walls several times.	看起來有些尖銳的物體被多次投擲到這些牆上。
This place seems sinister at night.  Some strange object is glowing at the other end of the alley.	這個地方在夜間顯得陰森。在小巷的另一端有些奇怪的物體在發光。
"You mean that the first victim we've had in months is a thief?  Here I thought we were finally going to make some money."	「你是說我們好幾個月來遇到的第一個受害者是小偷?我以為我們終於要賺錢了。」
"Tell Crusher that the password is 'schwertfisch'.  He's in the tavern." 	「告訴克拉舍密碼是『schwertfisch』。他在酒館裡。」
"Now go before I forget you made the sign and I make you pay anyway."	「現在滾蛋，趁我還沒忘記你做出那個手勢，不然我讓你付出代價。」
"You had better check in at the Thieves' Guild before you get in trouble for practicing without a license.  Find Crusher in the tavern and give him the password."	「你最好先到盜賊公會報到，免得因為沒執照就練習而惹上麻煩。在酒館裡找克拉舍，給他密碼。」
"What's that supposed to be?  You trying to pretend you're a thief or something?  Har, har."	「那是什麼東西?你在假裝你是小偷什麼的?哈，哈。」
The thieves seem to be ignoring you.	盜賊們似乎在忽視你。
The whole place is in need of repair.	整個地方都需要修繕。
"Yeah, yeah, we know, you're in the Guild too.  How's a poor independent businessman supposed to make a living around here with all this competition?"	「是是是，我們知道你也在公會裡。一個可憐的獨立商人怎麼樣才能在這裡的這麼多競爭中謀生呢?」
The dagger looks sharp and very deadly.	匕首看起來很鋒利，非常致命。
This man may be smiling at you, but he doesn't seem very friendly.  His florid face tells you that this thief is a regular at the "Aces and Eights" tavern. 	這個男人可能在向你微笑，但他看起來不太友好。他紅潤的臉龐告訴你這個盜賊是「Aces and Eights」酒館的常客。
This man may be smiling at you, but he doesn't seem very friendly.  He may be short, but that dagger makes him look 7 feet tall.	這個男人可能在向你微笑，但他看起來不太友好。他可能很矮，但那把匕首讓他看起來有7英尺高。
"See that dagger?  The next one is centered on your back." 	「看到那把匕首了嗎?下一把就對準你的背了。」
"Give Sneak there your cash and you walk out of here.  It's a simple trade, your life for your money." 	「把你的錢給斯尼克，然後你可以走出這裡。這很簡單，用你的生命換你的錢。」
