Introduction	開場介紹
Start New Hero	開始新英雄
Restore Game	讀取遊戲
Go to Town	前往城鎮
Continue Normally	繼續遊戲
Where to, Hero?    	英雄啊，去哪兒？
The software you are now using was produced through the efforts of many people: designers, artists, programmers, musicians, and lots of other hard-working folks.	你現在使用的軟體是由許多人齊心協力開發的：設計師、美術、程式設計師、音樂製作人，還有許許多多其他辛勤工作的人。
If you make copies of this software for any reason other than to make a personal backup, you are not only breaking the law, but raising the cost of software for all legitimate users.  PLEASE DO NOT MAKE ILLEGAL COPIES OF THIS GAME!  	如果你基於個人備份以外的任何理由複製本軟體，你不僅違反法律，還會提高所有合法使用者的軟體成本。請不要製作這款遊戲的非法副本！
Oh, by the way . . .  You will need the information contained in the printed documentation to successfully complete this game.  In other words, it's not just the law . . . It's a good idea. 	對了⋯⋯你需要參考隨附的遊戲手冊才能順利完成這款遊戲。換句話說，這不只是法律問題⋯⋯這根本是個明智之舉。
10 minute rest	休息十分鐘
30 minute rest	休息三十分鐘
60 minute rest	休息一小時
Sleep all night 	睡個整晚
Stay awake    	保持清醒
You just can't sleep during the daytime.	白天時你根本睡不著啦。
You awake as the sun begins to rise.	當太陽升起時，你醒了過來。
How long, Hero? 	英雄啊，要休息多久呢？
You're too impatient to rest right now.	你現在太急躁了，根本無法好好休息。
After %d minutes rest, you feel better.  	休息了%d分鐘後，你感覺好多了。
Your hunger has been totally satisfied.  You don't need another piece of fruit.	你已經完全飽了。不需要再吃水果了。
The fruit is very soft and juicy. It would be impossible to keep in your pack.	這水果軟軟的、很多汁，根本沒辦法帶在包裡。
The stone has been moved.	石頭被挪開了。
The large stone appears to be ancient and deliberately placed.  Marks carved into the stone almost look like writing.	這塊大石頭看起來很古老，還是刻意放在這裡的。石頭上刻的痕跡看起來幾乎像是某種文字。
In a hole, hidden beneath the ancient stone, someone has placed a scroll.	在這塊古老石頭下方的洞裡，有人放了一卷捲軸。
You took the scroll.	你拿起了捲軸。
The stone has the words "Erana's Peace" carved upon the top.  There are some runes carved along the side. 	石頭的頂端刻著「伊瑞娜的安寧之地」字樣。側面還刻著一些符文。
It reads:  "If thy Will is Magic, so shall I share.  Open this Stone and claim what is there."	內容寫著：「若汝意志乃魔法者，吾願與爾分享。開啟此石，領取所有寶藏。」
The hole that was beneath the stone is empty. 	原本在石頭下方的洞現在是空的。
No amount of physical effort will be able to move this stone.	再怎麼費力氣也動不了這塊石頭。
The grasses in the meadow are covered over with flowers.	草地上鋪滿了鮮花。
All kinds of colorful and fragrant flowers and grasses cover the meadow.	各式各樣的繽紛花朵和香草覆蓋著整個草地。
The meadow is an oasis at the edge of the snowline.  The rocky hillside looks very steep and slippery.	這個草地是雪線邊緣的綠洲。岩石山坡看起來陡峭又滑溜。
You have all the flowers you need.	你已經有了需要的花朵。
As you pick a variety of the sweet-smelling flowers, they seem to glow in your hands.  You put them safely away.	當你摘下各式各樣香氣四溢的花朵時，它們在你手上似乎閃閃發光。你小心地把它們放好。
You take another handful of the lovely, fragrant flowers.	你又摘了一把香氣迷人的花朵。
This entire area is magical.  In particular, the fruit on the tree radiates magic, and you sense that a spell has been placed on the large stone.  All of the magic has a warm, nurturing feel to it.	整個區域都充滿魔法。特別是樹上的果實散發著魔法氣息，你感覺大石頭上也被施加了某種魔法。所有這些魔法都給人溫暖、滋養的感受。
The very air in this meadow radiates feelings of calmness and peace.  You wouldn't be able to tell if the spell worked here.	這個草地的空氣本身就散發出寧靜和平的氣息。你甚至無法分辨法術在這裡是否會起作用。
