You don't have a weapon to charge.	你沒有武器可以發動衝鋒。
Cast what???	施什麼魔法???
Perhaps you shouldn't explore dark alleys at night unless you are looking for trouble.  Or you should look in your manual to learn how to deal with thieves. 	也許你不應該在夜間探索黑暗巷弄,除非你在找麻煩。或者你應該看看手冊上如何對付盜賊。
Erana missed this spot.	伊瑞娜漏掉了這個地方。
Talk about an unpleasant trip to Belgium.  Next time avoid antwerp (and the trip rope) altogether.  	比利時之旅真不愉快。下次乾脆別去安特衛普(還有那條絆馬繩)。
You hit some lousy fall weather....	你碰上了糟糕的秋天天氣……
You're obviously in no shape to continue the game.	你顯然沒有體力繼續遊戲了。
Trounced by a bounce!	被彈跳怪狠狠揍了一頓!
Congratulations!  Thanks to your efforts as a moving target, the Spielburg Bandits are a cinch to win the archery contest in next year's Brigandiad.  	恭喜!感謝你當靶子的努力,史畢柏格山賊輕輕鬆鬆就能贏得明年「山賊運動會」的射箭比賽。
Next Stop:  Pincushion City. 	下一站:針墊城。
That's funny.  I could have sworn I warned you about eating too many Magic Mushrooms.  Your mind permanently warped, you die a garishly polka-dotted death.	真搞笑。我發誓我警告過你別吃太多魔法蘑菇。你的心智永久變形,以花俏的圓點花紋死亡。
Where did all the pretty horses go?	那些漂亮的馬都去哪裡了?
It was a tough battle, and you lost.  Never fear!  All you have to do is restore your game, and...  What do you mean, "Restore WHAT game?"  	這場戰鬥很激烈,你輸了。別害怕!你只需要讀檔,然後……等等,你說什麼「讀什麼檔?」
What a monster! 	多麼可怕的怪物!
Too late, you remember... bear claws weren't on your diet. 	太遲了,你才想起……熊的爪子不在你的食譜上。
Realty Whirled	現實旋風
The brigands have an even temperament... all bad!  You seem to have a knack for doing the wrong thing.  	山賊個性很平穩……全都很壞!你好像特別擅長做錯事。
You ring the bell and your bell gets rung.	你敲了鐘,結果被敲了一頓。
At least you could have said "Yes" before you croaked! 	你至少可以在掛掉之前說聲「好」!
Breakfast of Champions? 	冠軍的早餐?
